question,label,generate_result,choice_result,logits
"题目： 有关季⻛的正确叙述是
A. 我国只受东南季⻛的影响
B. 季⻛⽓候都是夏季⾼温多⾬，冬季寒冷⼲燥。
C. 季⻛环流不属于⼤⽓环流
D. 海陆热⼒性质的差异是形成季⻛的重要因素",D,D,D,"0.31692630643746045,0.43868547679329106,0.149342293587713,0.7082712899301882"
"题目： 我国⻄北地区某地⽇光温室种植⻩⽠有膜下滴灌、膜下沟灌和沟灌三种灌溉⽅式。膜下滴灌和膜下沟灌是先将⽔灌⼊蓄⽔池中，再给作物根部供⽔，沟灌直接⽤井⽔灌溉，⽥间没有蓄⽔池。病⾍害发⽣程度与⽇光温室的相对湿度有关。膜下滴灌灌⽔⽣产效率最⾼的原因是：a灌⽔量⼩；b蓄⽔池保湿作⽤强；c地膜减少⽔分蒸发；d深层下渗作⽤强
A. bd
B. cd
C. ab
D. ac",D,A,A,"0.9921412762749301,0.7401953766857235,0.3881898266249373,0.8081998146311096"
"题目： 世界桥梁最多的城市是
A. 威尼斯
B. 杭州
C. 巴黎
D. 东京",A,D,D,"0.20386282823496793,0.43688211147569056,0.5585828514904597,0.5900207179480356"
"题目： 下列关于⼤洲的叙述正确的是
A. 非洲的中部和南部是⿊种⼈的故乡
B. 南美洲⽓候南北对称分布
C. 北美洲是世界三⼤宗教的发源地
D. 巴拿⻢运河是亚洲与非洲的分界线",A,C,C,"0.4409800149485388,0.4924291799456967,0.7868371460384631,0.24987486929918412"
"题目： 世界最深的河谷是
A. 卡利甘达基峡谷
B. 雅鲁藏布江河谷
C. 塔拉河峡谷
D. 淡水河谷",B,B,B,"0.15808867472622823,0.6910480378904961,0.33649601717217825,0.29217149596559144"
"题目： 导致⽔资源不⾜和⽤⽔紧张的原因是多⽅⾯的，下列说法中与此⽆关的是
A. 兴修⽔利⼯程
B. ⽔污染、⽔浪费严重
C. ⽔资源时空分布不均
D. ⼈类对淡⽔的需求量增⼤",A,A,A,"0.7117189343039134,0.4963435171835414,0.196788426243812,0.5471651433669741"
"题目： 下列诗句中，描述⽓候的是
A. 忽如⼀夜春⻛来，千树万树梨花开
B. 夜来⻛⾬声，花落知多少
C. ⼈间四⽉芳菲尽，⼭寺桃花始盛开
D. 东边⽇出⻄边⾬，道是⽆晴却有晴",C,B,B,"0.7643210121355435,0.7895136067885908,0.5400593913492707,0.1786154566336392"
"题目： 资源型城市是以矿产、森林等⾃然资源开采与加⼯为主导产业的城市，往往会经历从兴起到衰退的过程。资源型城市的共性特点是
A. 资源枯竭，产业效益下降
B. 经济总量不⾜，地⽅财⼒薄弱
C. 产业结构单⼀，资源产业萎缩
D. 采掘业产值占⼯业总产值⽐重较⼤",D,B,B,"0.48428616679409286,0.60484490161936,0.11879803124557109,0.23031069014924732"
"题目： 哥本哈根会议向全⼈类提出了“低碳减排”要求，以下做法符合这个要求的（）a烧煤做饭改为烧柴；；b发展沼⽓，改变能源结构；；c街道彻夜灯⽕辉煌；d发展循环经济，提倡清洁⽣产；e经常使⽤⼀次性⽤具。
A. ac
B. cd
C. bd
D. de",C,B,B,"0.16509070715976792,0.9369544620518414,0.453448347775695,0.3666863809243587"
"题目： 新疆优质煤源储量相对不⾜，为保证稳定供给⻄南地区优质煤炭的合理措施是
A. 发展燃⽓电⼒，节省优质煤炭资源
B. 促进煤炭加⼯转换，提⾼附加值
C. 实施疆内“北煤南运”，置换输出
D. 发展集装箱运煤，减少运输损耗",C,B,B,"0.23996037324518482,0.6321235872644904,0.51778824204253,0.06652022919793099"
"题目： 应急产业是为突发事件预防与准备、监测与预警、处置与救援提供专业产品和服务的产业。调查发现，应急产业的相关发明专利申请数量较少。2015年，国家开始培育应急产业示范基地，截⾄2020年1⽉，全国仅公布了20家应急产业示范基地，涉及16个地区。我国应急产业相关市场发展潜⼒⼤，其原因不包括
A. 社会经济快速发展，⽣产⽣活、交通安全事故频发
B. 我国⾃然灾害种类多，频次⾼，范围⼴
C. 我国地域⼴阔，⾃然资源丰富
D. 信息⽹络技术快速发展，信息安全事故多",C,A,A,"0.8238339989655123,0.2385672796161512,0.19082307450263258,0.05220799773170315"
"题目： 地球是我们的家园，⽉球绕地球转，地球绕太阳转，太阳是银河系的⼀颗普通恒星。上述涉及的天体系统层次有
A. 两个
B. 三个
C. 四个
D. ⼀个",B,C,C,"0.015293520364414226,0.3654879816685228,0.9064452068726243,0.11174907941787227"
"题目： 关于全球变暖的说法正确的是
A. 保护⾬林是减少CO2含量的有效措施
B. 内陆国家距海遥远，不必考虑海平⾯上升和⽓候变暖的影响
C. 全球变暖会使⼤⽓降⽔增多，农作物增产
D. ⾼纬度国家不需要防治全球变暖",A,C,C,"0.22724976029850874,0.030450571474555987,0.7677246977626171,0.49615538835586315"
"题目： 2015年4⽉25⽇，南亚国尼泊尔发⽣8.1级地震，⼤量外国游客被迫滞留尼泊尔境内，地震发⽣后，中国启动撤侨事宜，接回中国游客，确保中国海外侨⺠的安全，从经济发展⽔平来看，尼泊尔属于
A. 资本主义国家
B. 社会主义国家
C. 发达国家
D. 发展中国家",D,A,A,"0.6067174732886256,0.15990276565764772,0.44487526099138763,0.5171455677568519"
"题目： 21世纪初期波兰纺织业向现代化转型主要体现在
A. 淘汰纺织业基础产业部⻔
B. 专注纺织业链条⾼端环节
C. 国际市场拓展和品牌建设
D. 产业结构调整和技术升级",D,C,C,"0.4021499168770223,0.2621902949799848,0.6360034879988271,0.44629633070009767"
"题目： 河西走廊和柴达木盆地界线是
A. 祁连山脉
B. 太行山脉
C. 天山山脉
D. 横断山脉",A,A,A,"0.7321446031788021,0.1672054404818698,0.36523246247842056,0.4273991148510996"
"题目： 根据⾚潮发⽣的主要环境条件可以判断，在我国较易发⽣⾚潮的海域⼀般是 a南⽅近岸海域；b城市近岸海域；c北⽅近岸海域；d乡村近岸海域
A. ab
B. cd
C. ad
D. bc",A,B,B,"0.38132599663086086,0.9622986581956698,0.6221359560072979,0.3221821048233854"
"题目： “⼀带⼀路”东部连接快速发展的中国，⻄部连接发达的欧洲⽽中部是亟待发展的中亚、南亚等地区，东、中、⻄部的经济具有互补性，表现为（）：a东部产能增强，需要加强对外合作；b⻄部经济发达，需要引进⼤量⼈才；c中亚油⽓丰富，需要寻求消费市场；d南亚农业发达，需要扩⼤粮⻝出⼝
A. bd
B. bc
C. ac
D. ad",C,D,D,"0.8061554909845757,0.6974470584296291,0.6912534661893089,0.8764277053653935"
"题目： 历史上，苏州⼈利⽤当地砚瓦⼭的岩⽯做原料⽣产优质砚台。这种岩⽯岩性致密，呈薄板状。该岩⽯可能是
A. 变质岩
B. 喷出岩
C. 沉积岩
D. 侵⼊岩",A,A,A,"0.9118820913770437,0.676532161621984,0.11012923604435199,0.023184728804649057"
"题目： 世界最小的海是
A. 波罗的海
B. 马尔马拉海
C. 里海
D. 地中海",B,B,B,"0.5143472766460981,0.9449850104604406,0.09677674800240188,0.20004625981726287"
"题目： ⼀直被视为中国南⽅地区和北⽅地区分界线的⼭脉是
A. 大兴安岭
B. 天山山脉
C. 秦岭
D. 巫山",C,B,B,"0.4023893617492602,0.6862092795349849,0.5054126890605365,0.22871867101502985"
"题目： 世界盐度最低的海是
A. 死海
B. 东海
C. 波罗的海
D. 黄海",C,B,B,"0.1397945870260614,0.9088776294688681,0.2618900778700296,0.7223254005254431"
"题目： 上海宝钢为实施“⾛出去”战略，将在韩国京畿道投资新建钢材加⼯配送中⼼，提供汽⻋板材仓储、剪切、配送等服务。宝钢实施“⾛出去”战略的主要⽬的是
A. 降低运费
B. 保护环境
C. 输出技术
D. 扩⼤市场",D,A,A,"0.9443321023256261,0.20083798182449641,0.6900450733170678,0.35159424629472036"
"题目： “塞上江南”是宁夏的主要农业区，其发展农业的优势条件是 a地势平坦；b光照资源丰富；c降⽔丰沛；d灌溉⽔源充⾜
A. bcd
B. abc
C. acd
D. abd",D,C,C,"0.31019163750668266,0.009187057948475519,0.9658067949774368,0.42418900784222147"
"题目： 地球环境中最活跃的圈层是
A. 岩⽯圈
B. ⽔圈
C. ⼤⽓圈
D. ⽣物圈",D,C,C,"0.10949041671013415,0.6004545851414343,0.7992651664494488,0.7628566458527226"
"题目： 宁夏地理环境⾃南向北的变化不能体现
A. 季⻛区向⾮季⻛区过渡
B. 半湿润区、半⼲旱区向⼲旱区过渡
C. ⻓江流域向⻩河流域过渡
D. 农耕区向游牧区过渡",C,C,C,"0.4341673748662056,0.1993964900206684,0.9391087388328199,0.8991615152181662"
"题目： 世界面积最大的平原是
A. 图兰平原
B. 西西伯利亚平原
C. 亚马逊平原
D. 东欧平原",C,C,C,"0.1644166415146684,0.6247776924663107,0.9613828556133673,0.7878756241899627"
"题目： 世界领土最狭长的国家是
A. 墨西哥
B. 阿根廷
C. 智利
D. 秘鲁",C,B,B,"0.6248549747398008,0.7046344819705869,0.008689089732291433,0.20845778073207655"
"题目： “It’s not just a planet， It’s our home．”这是对地球在宇宙中地位恰如其分的评价。地球的特殊性表现在
A. 有⽣命物质存在
B. 质量和体积适中
C. 只有⼀颗卫星
D. ⾃转和公转⽅向相同",A,D,D,"0.962140329187852,0.5796635556721244,0.11624447953521067,0.9984958778800967"
"题目： 2018年9⽉，连接喀⻨隆克⾥⽐和巴⻄福塔雷萨的国际直连海底电缆全线贯通。该电缆由中喀两国企业合作修建，全⻓约6000千⽶。为保证海底电缆安全运⾏，需重点防范
A. ⼤⻄洋洋中脊地震
B. 印度洋海啸
C. 北冰洋浮冰
D. 环太平洋⽕⼭",A,D,D,"0.1474814397461618,0.5225171085495014,0.15887725926477947,0.7882339165633808"
"题目： 下列⾏为或观点符合可持续发展理念的是
A. 推⼴使⽤⼀次性⽊筷
B. 留得⻘⼭在，不怕没柴烧
C. 洗⾐服时⼀直开着⽔⻰头
D. 涸泽⽽渔",B,B,B,"0.25628547289927006,0.5081906733439765,0.0729765663490578,0.19812179586740886"
"题目： 亚洲与非洲分界线不包括
A. 红海
B. 曼德海峡
C. 马六甲海峡
D. 苏伊士运河",C,C,C,"0.2276319423414498,0.2888551888148826,0.5743476607653797,0.09418218231584619"
"题目： 从投⼊—产出的⼯业联系看，应集聚的⼯⼚是
A. 汽⻋⼚——化纤⼚
B. ⾃⾏⻋⼚——电视机⼚
C. 印染⼚——织布⼚
D. 钢铁⼚——印染⼚",C,C,C,"0.8617219312318607,0.5145078908254628,0.9763938847803468,0.7809879793350657"
"题目： 相对原有的发展，资源型城市新⽣期的发展主要着眼于
A. 延⻓原有产业链
B. 拓宽资源进⼝通道
C. 关闭重污染企业
D. 培育新经济增⻓点",D,D,D,"0.7435993832443842,0.28563315121409716,0.004598275575619426,0.9624300828185002"
"题目： 2017年9⽉20⽇，国⼟资源部和农业部召开联合记者会，宣布我国永久基本农⽥划定⼯作总体完成。全国落实保护⾯积15.5亿亩，其中⽔⽥和⽔浇地⾯积占划定⾯积的48%；坡⻆15°以下占划定⾯积的88%；城市周边划定9740万亩，通过优先确定永久基本农⽥布局，把城市周边围住，把公路沿线包住。全国永久基本农⽥划定的主要⽬的是
A. 摸清耕地资源分布
B. 优化农业⽣产布局
C. 统筹我国城乡规划
D. 保障国家粮⻝安全",D,A,A,"0.9191833364756051,0.7404655102202607,0.517156025796451,0.5977248432366513"
"题目： 长江中下游平原与华北平原界线是
A. 淮河
B. 黄河
C. 长江
D. 海河",A,B,B,"0.015635915046823823,0.44229237972924107,0.2930498066255871,0.05628192836479873"
"题目： 经过熟化，⽔稻⼟的结构特点及功能发⽣的变化表现为
A. 耕作层浅薄疏松，受⼈类活动影响⼤
B. 表⼟层软糊，提供了农作物扎根⽴⾜的条件
C. ⺟岩层较薄，阻断了有机界与⽆机界的联系
D. 犁底层紧实，提⾼了保⽔、保肥能⼒",D,C,C,"0.25241018592592024,0.6797970333709057,0.7102429550360797,0.4026490994267161"
"题目： 以下天体系统中，不包含⽕星的是
A. 银河系
B. 总星系
C. 太阳系
D. 河外星系",D,A,A,"0.8963096043146577,0.24067486298468888,0.4273461075654762,0.31258701472352524"
