question,label,generate_result,choice_result,logits
"题目： 网址www.zj.gov.cn中gov表示
A. 教育机构
B. 政府网站
C. 商业网站
D. 国际机构",B,B,B,"0.13367731860555965,0.2688698580122417,0.07379665070454922,0.04828430108044146"
"题目： 关于资源管理器中的“滚动条”，下列说法中正确的是
A. 随着窗口尺寸的放大和缩小，滚动条时有时无
B. 某窗口中有垂直滚动条，一定也有水平滚动条
C. 各种被打开的窗口中，都会出现滚动条
D. 滚动条中的滚动块的位置只能用鼠标来拖动移位",A,C,C,"0.4149490534485327,0.018981230026595797,0.4694766650289519,0.2543754328474047"
"题目： 组成完整的计算机系统的两个部分是
A. 教学软件和财务软件
B. 操作系统和应用系统
C. 系统软件和应用软件
D. 硬件系统和软件系统",D,D,D,"0.10289579734834065,0.3779796169256372,0.3006037650178617,0.8529367555824123"
"题目： 对计算机软件正确的认识应该是
A. 正版软件太贵，软件能复制不必购买
B. 正版软件只要能解密就能随意使用
C. 受法律保护的计算机软件不能随便复制
D. 计算机软件受法律保护是多余的",C,D,D,"0.29496344442914213,0.6043406070863009,0.14677557986657963,0.9427939582912198"
"题目： 在WORD的编辑状态，进行字体设置操作后，按新设置的字体显示的文字是
A. 文档中被选择的文字
B. 插入点所在段落中的文字
C. 文档的全部文字
D. 插入点所在行中的文字",A,A,A,"0.571357446267385,0.40204886923559147,0.1503668484593934,0.11491029327479485"
"题目： 下面不属于局域网络硬件组成的是
A. 个人计算机工作站
B. 浏览器
C. 网络服务器
D. 网络交换机",B,C,C,"0.3699204010882027,0.4360156242638845,0.747078392018894,0.6669105927184583"
"题目： 单击Word主窗口标题栏右边显示的“最小化”接钮后
A. Word的窗口被最小化成为任务栏上一按钮
B. Word的窗口关闭，成为桌面上的一个图标
C. Word的窗口关闭，文档窗口末关闭
D. Word退出运行",A,D,D,"0.019098189681940214,0.5552459628525898,0.031829189590402596,0.5937389093429236"
"题目： 下列哪种数据一般不会被计算机病毒破坏
A. 多媒体数据
B. 硬盘中的数据
C. 光盘中的数据库
D. 软盘中的数据",C,C,C,"0.52270453513279,0.6494257957637669,0.7393309903730083,0.5597565483017996"
"题目： PowerPoint，“剪切”命令是
A. 将选择的内容移入剪贴板
B. 仅将文本删除
C. 将选择的内容复制到剪贴板
D. 将剪贴板中的内容粘贴到指定位置",A,D,D,"0.6222655982198664,0.4671724368344512,0.5969307534467386,0.8847064444675725"
"题目： 不是InternetExplorer工具栏上的默认按钮的是
A. 收藏
B. 搜索
C. 打印
D. 保存",D,A,A,"0.8284885900230504,0.1708162957439009,0.05496811019024017,0.7151696436291677"
