question,label,generate_result,choice_result,logits
"题目： 一般认为，望远镜是荷兰的商人发明的，而首位将望远镜用于天文观测的人是
A. 哥白尼
B. 牛顿
C. 开普勒
D. 伽利略",D,B,B,"0.6813233388663186,0.7031601772964488,0.6536702976569149,0.5778312365493549"
"题目： 仙女星系M31未来会与银河系合为一体，预计汇合的时间约为
A. 4000万年
B. 400万年
C. 400亿年
D. 40亿年",D,B,B,"0.4098638178778411,0.9915125406146433,0.6536704845420575,0.10627930205410752"
"题目： 太阳的绝对星等是
A. 8.6
B. -26.8
C. 0
D. 4.8",D,A,A,"0.8987381094999874,0.8397182525937952,0.0368049937196564,0.1464476425106831"
"题目： 110个梅西叶天体中，半数以上是
A. 星云
B. 星团
C. 超新星遗迹
D. 星系",B,A,A,"0.8963213582508545,0.26066521627364425,0.67178583671079,0.4287468693141102"
"题目： 在地球上观测周年日行迹的形状很像
A. 1
B. 0
C. 8
D. S",C,C,C,"0.20431177559253244,0.9266649847669597,0.9519749473857029,0.3654221229709097"
"题目： 以下关于月球的事实哪个最有可能是巧合
A. 月球总是固定的一面朝向地球
B. 在地球上观测月球和太阳看上去差不多大
C. 月球背面的环形山比正面多
D. 月球公转轨道和地球的公转轨道面夹角很小",B,B,B,"0.17231572212121582,0.7970747242402533,0.0508736661026471,0.04876580337631897"
"题目： 天狼星的绝对星等为1.5等，太阳的绝对星等与天狼星的绝对星等差（）等
A. 1.5
B. 7.1
C. -25.3
D. 3.3",D,B,B,"0.7189568724775589,0.9479735792450752,0.47828977592323796,0.2852076357604959"
"题目： 2018年8月，系外行星凌星巡天卫星（TESS）观测到了一个星系的亮度变化，在数天时间内其视星等由19等增加到了16等。这是由一颗Ia型超新星爆发所导致的亮度变化，即ASASSN-18tb。假设这个超新星的前身星和参宿四（绝对星等-5等）非常相似，这个星系又很像银河系（大约包含2000亿颗类似太阳的恒星），那么该超新星爆发后亮度大约提升了（）倍
A. 103
B. 108
C. 1011
D. 106",B,B,B,"0.34122162842277304,0.8763072272257141,0.5995113841401736,0.2713983122246022"
"题目： 以下哪颗行星没有卫星
A. 火星
B. 土星
C. 木星
D. 金星",D,D,D,"0.42849404338337505,0.4442734085049608,0.052546514078569806,0.49926096849611146"
"题目： 以下哪两个星座的天区不相邻
A. 狮子座和小狮座
B. 大犬座和小犬座
C. 双鱼座和鲸鱼座
D. 飞马座和小马座",B,B,B,"0.35331477468339456,0.438133637007066,0.08668263270193532,0.311423452248762"
"题目： 以下哪两个星座不是相邻的
A. 牧夫座和猎犬座
B. 猎户座和波江座
C. 天琴座和天鹰座
D. 南鱼座和宝瓶座",C,A,A,"0.44200374575295065,0.154163016444259,0.2919883870173574,0.37029586955489247"
"题目： 以下哪种月相出现后不久，潮汐现象最为明显
A. 残月
B. 上弦月
C. 新月
D. 下弦月",C,A,A,"0.947665423001082,0.9295656583245903,0.3821481238083606,0.3869179604761307"
"题目： 已知织女星的表面温度约9600K，太阳的色指数B-V=0.63。一颗色指数B-V=1.2的主序星，表面温度约
A. 4300K
B. 6000K
C. 28000K
D. 15000K",A,B,B,"0.27295498373921,0.7396823637125758,0.21031607541825303,0.6085771110067584"
"题目： 以下哪一项表述最接近人类目前对系外行星卫星的探测情况
A. 系外行星卫星亮度太低，人类不可能探测到
B. 最新发射的空间探测器将有能力探测系外行星卫星
C. 已经探测到超过1万颗系外行星卫星
D. 系外行星卫星不存在",B,D,D,"0.3091063454342807,0.38292747052923404,0.06314267365019566,0.7859227140266133"
"题目： 2019年1月3日，嫦娥四号探测器成功着陆在月球背面内（）的冯·卡门撞击坑内。随后，嫦娥四号着陆器与巡视器玉兔二号顺利分离，玉兔二号抵达月球表面。这是人类首次在月球背面成功软着陆和巡视探测的航天器
A. 南极-艾特肯盆地
B. 金牛-利特罗峡谷
C. 东海盆地
D. 坚忍环形山",A,D,D,"0.5253635583562316,0.2440574901664293,0.4730471223778353,0.6918299216499427"
"题目： 在2017年记录到的中微子来自一个名为TXS0506+056的星系。星系中心超大质量黑洞所产生的两道喷流中有一道正好对准了地球，它会产生辐射和高能粒子，其中就包括了这次探测到的中微子和带电宇宙线。记录此次数据的是
A. 南极冰立方中微子天文台
B. 地中海中微子天文台
C. 钱德拉X射线天文台
D. 康普顿伽马射线天文台",A,B,B,"0.2924250436883815,0.6978885728914749,0.28781123848881374,0.035217330118326395"
"题目： 以下哪一项不是中国传统的天文仪器
A. 浑仪
B. 简仪
C. 圭表
D. 象限仪",D,D,D,"0.5102277562908369,0.653142401605612,0.7399761603798234,0.828482716286807"
"题目： 我国第一个真正意义上的空间实验室是
A. 天舟一号
B. 天宫二号
C. 天宫一号
D. 神舟十一号",B,A,A,"0.720533703173291,0.049394976809442825,0.32231086533130615,0.07806757818742582"
"题目： 2022年1月，由中华人民共和国国务院新闻办公室发布的《2021中国的航天》白皮书中，透露了未来中国计划开展的深空探测任务。这不包括
A. 小行星采样返回任务
B. 火星采样返回任务
C. 木星系探测任务
D. 金星采样返回任务",D,D,D,"0.0005938719053599772,0.08719350010799731,0.028720387839764383,0.10760747618771438"
"题目： 一颗红巨星的温度为2500K，半径是太阳的100倍，距离10pc，已知该红巨星在可见光波段（400nm≤λ≤700nm）的辐射能量占总光度L的3.3%，假如一个100W灯泡发出总辐射能量的5%在可见光波段，灯泡在多少的距离上，肉眼看起来和红巨星一样亮
A. 18km
B. 10km
C. 1.8km
D. 7km",B,B,B,"0.35557243407647987,0.7753391269501612,0.12502030896022442,0.1703372666126579"
"题目： 2019年唯一的一次日全食在哪个大洲可见
A. 南美洲
B. 亚洲
C. 欧洲
D. 非洲",A,A,A,"0.7328501036038706,0.5914963560293486,0.32772754294005413,0.09399779084852644"
"题目： 以下彗星中，2017年回归近日点的是
A. 55P/Tempel-Tuttle
B. 2P/Encke
C. 9P/Tempel
D. C/2013US10（Catalina）",B,C,C,"0.3935156672379355,0.315586315380988,0.7119117837763718,0.0853339819338027"
"题目： 以下梅西叶天体中与银河系最相似的是
A. M87
B. M82
C. M32
D. M31",D,D,D,"0.4681635818528538,0.020731989073866197,0.20438659908520818,0.7619579791165421"
"题目： 人类最近一次观测到银河系内的超新星爆发是在哪一年
A. 1604
B. 2018
C. 1987
D. 1054",A,D,D,"0.1687821676917023,0.4621654871491061,0.06513422701214999,0.4633505444423929"
"题目： 小猪佩奇很喜欢玩踩泥巴的游戏，它在地球上的最高纪录是可以让泥巴飞1m高。一天，它来到了一颗材质与地球相似的陌生星球旅行，又玩起了踩泥巴的游戏。只见它用力一踩，泥巴直冲云霄，刚好飞离星球，再也没有回来。那么这颗星球的质量约为
A. 8.5×10^{24}kg
B. 3.6×10^{18}kg
C. 3.7×10^{14}kg
D. 22×10^{19}kg",C,D,D,"0.3170192182706467,0.2974170209940916,0.6042785087884818,0.6096435210942556"
"题目： 木星的卫星中体积最大的是
A. 木卫二
B. 木卫三
C. 木卫一
D. 木卫四",B,B,B,"0.299733737766015,0.5798986765172327,0.09694847945220442,0.18680103235113232"
"题目： 如果太阳风每秒从太阳表面吹出的粒子数是n=1×10^{36}，且因为核心氢的核聚变反应，太阳的质量也在同时减少，则太阳风与核聚变的质量损失率之比最接近的是。（已知：太阳光度3.8×10^{26}W，电子质量9.1×10^{-31}kg，质子质量1.7×10^{-27}kg。）
A. 1:50
B. 1:5
C. 2:50
D. 2:5",B,B,B,"0.07638147593758371,0.6855607980169278,0.053098187164563826,0.12381953490193232"
"题目： 氢元素在宇宙中不可能存在的形态包括
A. H2
B. HII
C. HI
D. HIII",D,D,D,"0.19458638342418078,0.29332536861099034,0.15049907539013851,0.34468098295332394"
"题目： 几条氢吸收线的实验室静止波长分别为410nm、434nm、486nm和656nm。天文学家对一个遥远的星系进行了光谱观测，观测结果显示这些相同谱线的波长分别为492nm、521nm、583nm和787nm。请问这个星系的退行速度是多少倍光速
A. 0.16
B. 0.22
C. 0.2
D. 0.18",D,B,B,"0.7645767234596468,0.9959300126487071,0.7825938032727298,0.3053742541308181"
"题目： 1000颗6等星聚集在一起的星等近似（）等
A. -1.5
B. 1
C. -0.5
D. 6000",A,A,A,"0.7926436442648097,0.6828527710319864,0.6530931300353956,0.5415191388396644"
"题目： 目前得到确认的人类最古老的天文观象台是
A. 位于中国北京的古观象台
B. 位于中国临汾的陶寺遗址
C. 位于中国安阳的殷墟遗址
D. 位于英国威尔特郡的巨石阵",C,C,C,"0.5746749590792453,0.37621932378491607,0.9033680082402322,0.13421798345929514"
