summary: total num 2692 | acc 0.43165
model: [llama3.1-8B-Instruct]

subject: strict_0_shot_accountant  | num: 49    | acc: 0.38776
subject: strict_0_shot_advanced_mathematics | num: 19    | acc: 0.57895
subject: strict_0_shot_art_studies | num: 33    | acc: 0.51515
subject: strict_0_shot_basic_medicine | num: 19    | acc: 0.10526
subject: strict_0_shot_business_administration | num: 33    | acc: 0.30303
subject: strict_0_shot_chinese_language_and_literature | num: 23    | acc: 0.43478
subject: strict_0_shot_civil_servant | num: 47    | acc: 0.46809
subject: strict_0_shot_clinical_medicine | num: 22    | acc: 0.13636
subject: strict_0_shot_college_chemistry | num: 24    | acc: 0.25000
subject: strict_0_shot_college_economics | num: 55    | acc: 0.16364
subject: strict_0_shot_college_physics | num: 19    | acc: 0.21053
subject: strict_0_shot_college_programming | num: 37    | acc: 0.35135
subject: strict_0_shot_computer_architecture | num: 21    | acc: 0.28571
subject: strict_0_shot_computer_network | num: 19    | acc: 0.31579
subject: strict_0_shot_discrete_mathematics | num: 16    | acc: 0.31250
subject: strict_0_shot_education_science | num: 29    | acc: 0.37931
subject: strict_0_shot_electrical_engineer | num: 37    | acc: 0.18919
subject: strict_0_shot_environmental_impact_assessment_engineer | num: 31    | acc: 0.12903
subject: strict_0_shot_fire_engineer | num: 31    | acc: 0.25806
subject: strict_0_shot_high_school_biology | num: 19    | acc: 0.21053
subject: strict_0_shot_high_school_chemistry | num: 19    | acc: 0.31579
subject: strict_0_shot_high_school_chinese | num: 19    | acc: 0.36842
subject: strict_0_shot_high_school_geography | num: 19    | acc: 0.31579
subject: strict_0_shot_high_school_history | num: 20    | acc: 0.50000
subject: strict_0_shot_high_school_mathematics | num: 18    | acc: 0.00000
subject: strict_0_shot_high_school_physics | num: 19    | acc: 0.21053
subject: strict_0_shot_high_school_politics | num: 19    | acc: 0.68421
subject: strict_0_shot_ideological_and_moral_cultivation | num: 19    | acc: 0.68421
subject: strict_0_shot_law         | num: 24    | acc: 0.33333
subject: strict_0_shot_legal_professional | num: 23    | acc: 0.26087
subject: strict_0_shot_logic       | num: 22    | acc: 0.27273
subject: strict_0_shot_mao_zedong_thought | num: 24    | acc: 0.33333
subject: strict_0_shot_marxism     | num: 19    | acc: 0.52632
subject: strict_0_shot_metrology_engineer | num: 24    | acc: 0.25000
subject: strict_0_shot_middle_school_biology | num: 21    | acc: 0.19048
subject: strict_0_shot_middle_school_chemistry | num: 20    | acc: 0.45000
subject: strict_0_shot_middle_school_geography | num: 12    | acc: 0.25000
subject: strict_0_shot_middle_school_history | num: 22    | acc: 0.31818
subject: strict_0_shot_middle_school_mathematics | num: 19    | acc: 0.15789
subject: strict_0_shot_middle_school_physics | num: 19    | acc: 0.26316
subject: strict_0_shot_middle_school_politics | num: 21    | acc: 0.71429
subject: strict_0_shot_modern_chinese_history | num: 23    | acc: 0.30435
subject: strict_0_shot_operating_system | num: 19    | acc: 0.31579
subject: strict_0_shot_physician   | num: 49    | acc: 0.36735
subject: strict_0_shot_plant_protection | num: 22    | acc: 0.22727
subject: strict_0_shot_probability_and_statistics | num: 18    | acc: 0.55556
subject: strict_0_shot_professional_tour_guide | num: 29    | acc: 0.44828
subject: strict_0_shot_sports_science | num: 19    | acc: 0.10526
subject: strict_0_shot_tax_accountant | num: 49    | acc: 0.24490
subject: strict_0_shot_teacher_qualification | num: 44    | acc: 0.43182
subject: strict_0_shot_urban_and_rural_planner | num: 46    | acc: 0.19565
subject: strict_0_shot_veterinary_medicine | num: 23    | acc: 0.26087
subject: strict_5_shot_accountant  | num: 49    | acc: 0.46939
subject: strict_5_shot_advanced_mathematics | num: 19    | acc: 0.52632
subject: strict_5_shot_art_studies | num: 33    | acc: 0.66667
subject: strict_5_shot_basic_medicine | num: 19    | acc: 0.68421
subject: strict_5_shot_business_administration | num: 33    | acc: 0.54545
subject: strict_5_shot_chinese_language_and_literature | num: 23    | acc: 0.39130
subject: strict_5_shot_civil_servant | num: 47    | acc: 0.51064
subject: strict_5_shot_clinical_medicine | num: 22    | acc: 0.54545
subject: strict_5_shot_college_chemistry | num: 24    | acc: 0.37500
subject: strict_5_shot_college_economics | num: 55    | acc: 0.47273
subject: strict_5_shot_college_physics | num: 19    | acc: 0.36842
subject: strict_5_shot_college_programming | num: 37    | acc: 0.64865
subject: strict_5_shot_computer_architecture | num: 21    | acc: 0.52381
subject: strict_5_shot_computer_network | num: 19    | acc: 0.63158
subject: strict_5_shot_discrete_mathematics | num: 16    | acc: 0.31250
subject: strict_5_shot_education_science | num: 29    | acc: 0.65517
subject: strict_5_shot_electrical_engineer | num: 37    | acc: 0.37838
