question,label,generate_result,choice_result,logits
"题目： 我国古代“十八般武艺”中第十八是“白打”意思是
A. 用白棒打
B. 用白巾作武器
C. 徒手搏斗
D. 打空拳",C,D,D,"0.7121587844714315,0.601246413656212,0.6158868620989542,0.9590146491032028"
"题目： 小伤口出血时，我们要用___冲洗伤口
A. 生理盐水
B. 全不对
C. 冷水
D. 热水",A,D,D,"0.5119852833923921,0.006074713448026459,0.13692875499437884,0.6894576927186098"
"题目： 发生火灾时要迅速判断火势的来源，朝与火势趋向()的方向逃生
A. 向下
B. 向上
C. 相同
D. 相反",D,C,C,"0.10217949800112158,0.8834864031020813,0.9278478574957905,0.6487147705271241"
"题目： 事故发生在校内，但纯系学生违反校纪校规引起，并在此事件中学校能证明没有任何过失，学校()责任事故
A. 无
B. 有
C. 承担间接
D. 有部分",A,B,B,"0.589959201892934,0.7516236292682783,0.14915612357305053,0.05379464568050829"
"题目： 在学校体育活动中中暑，应
A. 解开衣扣，平躺休息
B. 用热毛巾敷头部，并擦身
C. 喝浓盐水或清凉饮料
D. 将病人转移到室内",A,D,D,"0.5382803899052827,0.4937202304699294,0.06328066839522106,0.6221400092726037"
"题目： 有异物掉入眼中，应
A. 用手指甲刮出异物
B. 用棉签拭出
C. 用清水冲洗
D. 用力对眼睛吹气",C,B,B,"0.1427919608985695,0.7151769205805925,0.712721649756962,0.3523699550269297"
"题目： 扑救火灾时，应注意先切断火场的();同时要注意先转移火灾及其附近的易燃易爆危险品，实在无法转移的应当设法降温冷却
A. 气源
B. 易燃物品
C. 电源、气源
D. 电源",C,A,A,"0.8640217916332322,0.5573999180707623,0.07733638256889352,0.692780949580581"
"题目： 建筑物起火后，多少分钟内是灭火的最好时间
A. 5到6分钟
B. 2到4分钟
C. 5到7分钟
D. 到5分钟",C,A,A,"0.7696013079680329,0.1412846827487897,0.16616474617317312,0.756780284178227"
"题目： 晨雾中较高的含有哪种元素不利于人体健康
A. 铝
B. 氯
C. 铅
D. 氮",C,C,C,"0.5364267126365525,0.39470825788625963,0.7495325198743903,0.38123052497597176"
"题目： 酒中含有酒精，饮酒过多或经常饮酒，会造成酒精中毒，使身体受损，那么，饮酒对人体的哪些器官最为有害
A. 眼睛
B. 心脏
C. 皮肤
D. 肺",B,C,C,"0.10390875525004861,0.27894115648553186,0.8113118761912088,0.5557216852621819"
"题目： 方便面里必然有哪种食品添加剂
A. 合成抗氧化剂
B. 防腐剂
C. 漂白剂
D. 食用色素",A,B,B,"0.8527066286752141,0.9353486482862976,0.8933740686941432,0.2691897975218547"
"题目： 世界史诗中最长的史诗是
A. 《罗摩衍那》
B. 《奥德赛》
C. 《伊里亚特》
D. 《格萨尔王传》",D,D,D,"0.22335669105709288,0.03601084716410363,0.4709266881865618,0.9881065572444253"
"题目： 哪一季节最不易引发哮喘病
A. 夏
B. 春
C. 秋
D. 冬",D,B,B,"0.4172953718484632,0.9278727247794237,0.12107860926000125,0.5554239120713886"
"题目： 油锅着火时，正确的灭火方法是
A. 先打119
B. 用锅盖盖灭
C. 用水浇
D. 赶快去端油锅",B,B,B,"0.4960486623868271,0.9741688989498782,0.8173736316349643,0.2397880103888267"
"题目： 中国建设银行发行的信用卡是
A. 龙卡
B. 牡丹卡
C. 长城卡
D. 太平洋卡",A,A,A,"0.9159224556626676,0.09464957824301534,0.07534164559169598,0.08034964491984398"
"题目： 中小学生参加商业性庆典演出活动
A. 学校有申请报告可以
B. 学校组织严密可
C. 在得到主管局同意后可以
D. 不可以",D,A,A,"0.922871410170952,0.028048199086173398,0.5357946766530182,0.5562026327895735"
"题目： 中国民间节令“九九”是从哪一天开始的
A. 秋分
B. 夏至
C. 冬至
D. 立秋",C,C,C,"0.48154964830975056,0.08752029553033047,0.7435107164351842,0.7217593668398264"
