question,label,generate_result,choice_result,logits
"题目： 在文学上积极鼓吹""小说界革命""的是
A. 蔡元培
B. 黄遵宪
C. 胡适
D. 梁启超",D,D,D,"0.1786331964029444,0.19756518007911406,0.15809533103980444,0.7180488256898492"
"题目： 挪威剧作家易卜生的《玩偶之家》从题材内容来看属于
A. 社会问题剧
B. 史诗剧
C. 童话剧
D. 宗教剧",A,B,B,"0.24163540745132495,0.8618338523726955,0.799948276179821,0.4145330952496816"
"题目： 《红字》的作者是美国作家
A. 奥尼尔
B. 福克纳
C. 爱默生
D. 霍桑",D,B,B,"0.7523918815208582,0.8429355876970791,0.24307615865835974,0.546538227191128"
"题目： 艺术作品通过广播、网络等形式进行传播，属于
A. 现场表演传播
B. 展览性传播
C. 口头传播
D. 大众传播",D,C,C,"0.738482433579795,0.48441132595129444,0.9213302922447657,0.4028413067249563"
"题目： 在西方，首次较有系统地阐述艺术起源于模仿的理论家是
A. 苏格拉底
B. 康德
C. 贺拉斯
D. 亚里士多德",D,B,B,"0.37957067132168876,0.8912779478215013,0.18149790902895213,0.5548844415799963"
"题目： 在我国近代，提出我手写我口、'我口写我心，提倡诗界革命的人是
A. 黄遵宪
B. 龚自珍
C. 魏源
D. 蔡元培",A,B,B,"0.7065147069115193,0.8027378703841627,0.39959264927350935,0.3555467235459069"
"题目： 电视剧《京华烟云》根据同名小说改编，原作作者是
A. 沈从文
B. 林语堂
C. 周作人
D. 老舍",B,A,A,"0.8669952146448274,0.21620047915314056,0.4894773838510731,0.831884037893535"
"题目： 梵高是哪个国家著名画家。
A. 英国
B. 丹麦
C. 荷兰
D. 法国",C,A,A,"0.8652015361192297,0.49639464076808293,0.335127356648521,0.32848563515607265"
"题目： 提出境界论的近代文艺理论家是
A. 鲁迅
B. 曹雪芹
C. 王国维
D. 刘熙载",C,A,A,"0.8842556701946976,0.14819477917858204,0.5705831769454822,0.25511798785182194"
"题目： 被定义为“主体感受生活、欣赏艺术、体验和孕育意象的敏锐性和悟性”的是
A. 艺术敏感
B. 艺术想象力
C. 艺术灵感
D. 艺术技巧",A,D,D,"0.2934755085279479,0.8921983140297085,0.7346219497282132,0.9878840565511275"
"题目： 长鼓舞是下列哪一个民族的舞蹈
A. 鄂伦春族
B. 满族
C. 蒙古族
D. 朝鲜族",D,D,D,"0.14813829864048667,0.7503710407710149,0.4913395000980739,0.8569667793982342"
"题目： 《巴黎圣母院》的建筑形式属于
A. 拜占庭式建筑
B. 哥特式建筑
C. 罗马式建筑
D. 拉丁式建筑",B,D,D,"0.6234305987669622,0.11782792412281196,0.009503630965719378,0.8877516758734583"
"题目： 我国著名的瓷都是
A. 山东淄博
B. 江苏宜兴
C. 江西景德镇
D. 广东石湾",C,A,A,"0.8357248874312386,0.6385762793509457,0.299413281859248,0.14737466100711816"
"题目： 模仿说的合理性在于
A. 始终注重艺术的情感性因素
B. 始终抓住艺术与现实世界的关系
C. 始终肯定人的主体因素
D. 始终强调艺术的形式因素",B,C,C,"0.23252030854146255,0.049998305004022026,0.5112175722406304,0.086175637968396"
"题目： 齐白石的中国画《蛙声十里出山泉》描写的是
A. 树蛙
B. 牛蛙
C. 青蛙
D. 蝌蚪",C,C,C,"0.5242024607611292,0.008084856316786682,0.8438355729499791,0.21479938427490153"
"题目： 民族舞剧《丝路花雨》中“反弹琵琶”的动作设计来源于
A. 阿细跳月
B. 维吾尔舞蹈
C. 秧歌
D. 敦煌壁画",D,A,A,"0.9997657072243722,0.9380496573595617,0.06379835052437899,0.20209739769103197"
"题目： 贺拉斯最重要的美学著作是
A. 《诗学》
B. 《诗品》
C. 《美学》
D. 《诗艺》",D,A,A,"0.5490856610887485,0.12488985400024799,0.30961332155518106,0.07563540029321902"
"题目： 《人间喜剧》的作者是
A. 巴尔扎克
B. 狄更斯
C. 托尔斯泰
D. 雨果",A,B,B,"0.4212919213540165,0.792735186445025,0.6270841269324494,0.7218569327845302"
"题目： 《亚威农少女》是（）绘画的代表作品。
A. 野兽派
B. 立体主义
C. 达达主义
D. 抽象主义",B,D,D,"0.6724688627165516,0.4806379107859895,0.23044828833664888,0.9489381883832778"
"题目： 1886年创作的青铜圆雕《加莱义民》的作者是
A. 意大利多纳太罗
B. 法国罗丹
C. 法国贝尼尼
D. 意大利米开朗基罗",B,A,A,"0.5199759242629273,0.05227507255372388,0.25750419563582094,0.5016652611161434"
"题目： 我国古代著名绘画作品《洛神赋图》的作者是
A. 张择端
B. 展子虔
C. 顾恺之
D. 阎立本",C,B,B,"0.18081755360873253,0.600221235751835,0.2935980013355487,0.4685871799686594"
"题目： 《蓝色多瑙河圆舞曲》的作者是是奥地利作曲家
A. 李斯特
B. 贝多芬
C. 约翰•施特劳斯
D. 巴赫",C,C,C,"0.4879466459191558,0.8240844759088024,0.8464471431879074,0.6953791716432575"
"题目： 艺术家应具备的审美美创能力是
A. 敏锐的感知能力，丰富的想象力，深入的理论研究能力
B. 敏锐的感知能力，丰富的想象力，精湛的艺术技巧
C. 高超的鉴赏能力，丰富的想象力，深刻的批评能力
D. 敏锐的感知能力，严密的逻辑思维能力，精湛的艺术技巧",B,C,C,"0.3712426654507581,0.1385749766427682,0.45240744489963347,0.06266951946438548"
"题目： 立体派的人物是
A. 马蒂斯
B. 梵•高
C. 高更
D. 毕加索",D,C,C,"0.8548850981262709,0.40838862138332854,0.9669221875925749,0.7266149987550976"
"题目： 何占豪、陈钢创作的《梁山伯与祝英台》是一部
A. 二胡独奏曲
B. 大提琴独奏曲
C. 小提琴协奏曲
D. 交响曲",C,B,B,"0.10033322694056157,0.888211732457099,0.5609503074660502,0.48625701561682333"
