question,label,generate_result,choice_result,logits
"题目： 在某校班际篮球联赛中，每场⽐赛都要分出胜负，每队胜⼀场得3分，负⼀场得1分，如果某班要在第⼀轮的28场⽐赛中⾄少得43分，那么这个班⾄少要胜多少场
A. 6
B. 5
C. 7
D. 8",D,A,A,"0.6718728487691185,0.12786222478999965,0.12957536191458707,0.4213169376735606"
"题目： 三洋电视机⼚为了能清楚地表示出上半年⽉产量的多少与增减变化的情况，应绘制
A. 不确定
B. 扇形统计图
C. 条形统计图 
D. 折线统计图 ",D,C,C,"0.5423239764444053,0.1297757531368362,0.6277393517138202,0.3531134189117069"
"题目： 明明今年⼏岁? 爸爸今年39岁。您的年龄⽐我的2倍多11岁
A. 13
B. 15
C. 12
D. 14",D,C,C,"0.32071743068536895,0.6142701839058371,0.9062199765246136,0.8500429283536836"
"题目： $\frac{2}{5}$的分⺟增加15，要使分数⼤⼩不变，分⼦应扩⼤
A. 6倍
B. 15倍
C. 3倍
D. 4倍",D,B,B,"0.823601893357088,0.9314701285231783,0.624929651283301,0.39759321839445994"
"题目： ⽤⼀块⻓28.26厘⽶、宽15.7厘⽶的⻓⽅形铁⽪，应该配上直径（ ）厘⽶的圆形铁⽪就可以做成⼀个容积最⼤的容器
A. 2.5
B. 5
C. 9
D. 4.5",C,B,B,"0.7956623459022718,0.8945493341673124,0.030959297886435477,0.6466852046878047"
"题目： 我国股市交易中，每买、卖一次都要交7.5%的各种费用，某投资者以每股10元的价格买入上海某股1000股，当该股涨到12元时，他全部卖出后盈利为
A. 1910元
B. 1925元
C. 2000元
D. 1835元",D,D,D,"0.6642463190997182,0.19583489349563388,0.5582018536691263,0.8967413659000187"
"题目： 某公司今年4⽉的营业额为2500万元，按计划第⼆季度的总营业额要达到9100万元，设该公司5、6 两⽉的营业额的⽉平均增⻓率为 x，根据题意列⽅程，则下列⽅程正确的是
A. $2500(1+x)^{2}=9100$
B. $2500(1+x)+2500(1+x)^{2}=9100$
C. $2500+2500(1+x)+2500(1+x)^{2}=9100$
D. $2500(1+x\%)^{2}=9100$",C,A,A,"0.6158299814116199,0.5811739960956661,0.3421343599602563,0.10998189534418612"
"题目： ⼀个商⼈把⼀件连⾐裙标价为640元，经⼯商⼈员核价，降⾄60元出售，仍可获利20%，如按原标价出售则⼀条裙⼦可获暴利（ ）元
A. 610
B. 600
C. 590
D. 620",C,C,C,"0.4541146313202805,0.16853462654287932,0.972966714049062,0.03231213028391211"
"题目： ⼀元⼆次⽅程$x^{2}-8x=48$可表示成 $(x-a)^{2}=48+b$形式，其中a，b为整数，求a+b之值为
A. -20
B. 12
C. -12
D. 20",D,C,C,"0.6626442952604459,0.869389634553858,0.9441287843583955,0.0636647880361314"
"题目： －3.782
A. 不是分数，是有理数
B. 是分数，不是有理数 
C. 是负数，也是分数 
D. 是负数，不是分数",C,B,B,"0.4711336463521886,0.9374251245821665,0.9147994387611676,0.9312824607448165"
