question,label,generate_result,choice_result,logits
"题目： 在下面的例句中，表示“经历”意义、轻读的“过”是
A. 喝过了汤再吃饭
B. 见过周恩来总理的人非常都尊重他
C. 过了一天又一天
D. 小李吃过饭就走了 ",B,A,A,"0.953775564323132,0.5297639567340973,0.26399366526597945,0.6517091931882769"
"题目： 由⼀般原理推导出关于个别情况的结论，这种论证⽅法是
A. 归纳法
B. 对⽐法
C. 类⽐法
D. 演绎法",D,D,D,"0.19573926609360726,0.6921950657519811,0.4082515712451663,0.8912168787001564"
"题目： 根据句法结构二重性理论，下面关于主语、宾语的正确的说法是
A. 主语一定是施事，宾语一定是受事
B. 主语一定是施事，但是宾语不一定是受事
C. 主语不一定是施事，但宾语一定是受事
D. 主语不一定是施事，宾语也不一字是受事",D,D,D,"0.24750344609366004,0.09118408184102955,0.2651099441080369,0.31899574026860966"
"题目： 在“我买的书”这个结构中，共包含
A. 两种结构
B. 四种结构
C. 一种结构 
D. 三种结构",D,A,A,"0.9804500638269145,0.7873402039057662,0.4731138726989511,0.5813346722442131"
"题目： “花儿”的正确拼音应写成
A. huār
B. huāer
C. huā-er
D. huā",C,C,C,"0.9372006372041105,0.6227502262586923,0.9560196552277536,0.3573437509260087"
"题目： 由于汉语词类具有多功能的特点，所以在划分汉语的词类应该
A. 根据词意义
B. 根据词的形态变化
C. 在词组平面划分
D. 根据词同句子成分之间的对应",C,B,B,"0.641496183523055,0.9959007800916312,0.7677055469601669,0.20439508147487795"
"题目： 我国早期进行的系统的汉语语法研究的一个主要缺点是
A. 方法不够完善
B. 术语不够严密
C. 没有充分注意到汉语语法自身的特点
D. 描写不够细致",C,A,A,"0.5897146498288381,0.3310737252310636,0.26090666677234775,0.030490691523989866"
"题目： “脑袋”和“头颅”之间的差异是
A. 语体色彩
B. 感情色彩
C. 范围大小
D. 语义轻重",A,D,D,"0.4107537165520685,0.21283557175049905,0.28343752139981127,0.4776953976341235"
"题目： 根据⽂段内容，对下⾯两个病句的修改都正确的⼀项是：在学校开展戏剧学习、戏剧实践的过程中，i.很多家⻓努⼒为孩⼦争取上台演出。他们希望孩⼦变得 更加开朗、更加⾃信，ii.语⾔表达能⼒和表演⽔平得到改善。看来，家⻓们都⾮常注重对孩⼦综合素质 的培养。
A. i.句应在“家⻓”之前加上“学⽣” ii.句应将“改善”改为“改变”
B. i.句应在“演出”之后加上“的机会” ii.句应将“改善”改为“改变” 
C. i.句应在“演出”之后加上“的机会” ii.句应将“改善”改为“提⾼” 
D. i.句应在“家⻓”之前加上“学⽣” ii.句应将“改善”改为“提⾼”",C,A,A,"0.8341509780365224,0.6778438305787413,0.6203481323069154,0.29474035458759607"
"题目： 在《郑伯克段于鄢》中，“多⾏不义必⾃毙”⼀语指斥的对象是
A. 京城⼤叔
B. 郑庄公
C. 武姜
D. 公⼦吕",B,A,A,"0.6453815054272335,0.4194152463583001,0.38447728663615244,0.45162573459250277"
"题目： 几个性别相同、年龄相仿的熟人在隔壁说话，能听得出说话人是张三还是李四，这主要是由于各人的
A. 音色不同
B. 音强不同
C. 音长不同
D. 音高不同",A,A,A,"0.9207924516873074,0.5416742224273849,0.7373201647646251,0.7166833144824685"
"题目： 发音时候两个部位完全闭合，阻住气流，然后突然打开，让气流迸裂而出，爆发成声的音是
A. 塞擦音
B. 塞音
C. 边音
D. 擦音",B,A,A,"0.8043011539350877,0.01943842979397503,0.7936828155612861,0.07016337666565275"
"题目： 根据语境和所给字义，在下列句⼦括号处选填汉字，有误的⼀项是
A. 男排主教练坦⾔，在这次预选赛上，男排只有破 （斧、釜）沉⾈，才有可能冲出重围 “斧”指“斧⼦”，“釜”是“古代的炊具，相当于现在的锅”，括号处应填“釜”。
B. 读汪曾祺的作品，我们总能从他平实朴素的语⾔中品 （味、位）出宁静淡雅的意韵。 “味”有“辨别、体会”的意思，“位”有“所在之地”的意思，括号处应填“味”。 
C. 朵朵⽩云飘浮在空中，它们聚 （笼、拢）在⼀起，积蓄了⾜够的⼒量，便形成⾬，洒向⼈间， 滋润⼤地。 “笼”有“遮盖”的意思，“拢”有“凑起”的意思，括号处应填“拢”。
D. 被贬后的苏东坡依然有赏清⻛皓⽉、饮美酒佳茗的闲情逸 （⾄、致），⾜⻅他⼼胸的开朗、豁 达。 “⾄”有“极、最”的意思，“致”有“情趣”的意思，括号处应填“⾄”。",D,D,D,"0.1434576214605816,0.08961965109855075,0.5332801933749757,0.6196115291949076"
"题目： 下面几点中，对汉语语法具有全局性的影响的一个特点是
A. 词组构造和单句构造采取同一套原则
B. 量词丰富多彩
C. 句子成分常常省略
D. 词没有形态变化",A,A,A,"0.8817413717570549,0.5879239344865088,0.3945724865244131,0.8627958915022994"
"题目： 下列汉字都是象形字的是
A. 马、水、火
B. 亦、日、寸
C. 从、本、木
D. 北、刃、月",A,A,A,"0.7910189133429507,0.0026732483241822536,0.35935308235788366,0.7713119034780874"
"题目： 下列名法结构中，主语是当事性质的是
A. 小李收到一封信
B. 小李写了一封信
C. 张三打李四
D. 小梅洗衣服",A,A,A,"0.7264587264469532,0.6194119119985785,0.3527622225744437,0.44067114096325233"
"题目： 叙事性作品中情节的基本组成部分(或称情节的基本阶段)是
A.  序幕、发展、⾼潮、结局
B. 开端、发展、结局、尾声
C. 序幕、⾼潮、结局、尾声
D. 开端、发展、⾼潮、结局",D,A,A,"0.669932116800415,0.34149318675880147,0.24280776960017858,0.011644503291151187"
"题目： 在下面的例子中，“大学”无指的一项是
A. 这个城市有三所大学
B. 小王只读了两年大学 
C. 教学楼是大学里最重要的建筑
D. 他年轻时读过三个大学",B,D,D,"0.34574737445243575,0.04954570499265987,0.15006210834181932,0.7334946323367042"
"题目： 下列各句中，“则”表示转折关系，可以译为“却”的是
A. 到则披草⽽垒，倾壶⽽醉
B. 兵强则⼠勇
C. 既来之，则安之
D. 苟有能反是者，则⼜爱之太殷",D,D,D,"0.6201995370814433,0.484898845495202,0.9042484552360528,0.9370405398174043"
