question,label,generate_result,choice_result,logits
"题目： ⽤⼀个字节最多能编出（ ）不同的码
A. 128个
B. 256个
C. 16个
D. 8个",B,C,C,"0.6259402252785438,0.6223053419791751,0.8980286538515113,0.712350401675437"
"题目： 通常以太⽹采⽤了（ ）协议以⽀持总线型的结构
A. 环型
B. 载波侦听与冲突检测CSMA/CD
C. 令牌环
D. 总线型",B,C,C,"0.3619433867463906,0.1753799635688592,0.661428055746524,0.2525442942125624"
"题目： 如果按变址⽅式读取操作数，则有效地址是指
A. 变址计算获得的地址
B. 基址寄存器中存放的地址
C. 指令中直接给出的地址
D. 变址寄存器中存放的地址",A,B,B,"0.7693782835057951,0.9631365068130411,0.6734718926271998,0.8049637761293417"
"题目： 世界上第⼀个⽹络是在（ ）年诞⽣
A. 1969
B. 1977
C. 1973
D. 1946",A,B,B,"0.20842044651793346,0.5967210785904972,0.5963132582431178,0.46033978152068467"
"题目： 串⾏接⼝是指
A. 主机和接⼝之间、接⼝和外设之间都采⽤串⾏传送
B. 主机和接⼝之间串⾏传送，接⼝和外设之间并⾏传送
C. 主机和接⼝之间并⾏传送，接⼝和外设之间串⾏传送
D. 系统总线采⽤串⾏总线",C,A,A,"0.96955945394152,0.8333833108874942,0.34514991836873077,0.11040516189690608"
"题目： 访问列表是路由器的⼀种安全策略,你决定⽤⼀个标准ip访问列表来做安全控制，以下为标准访问列表的例⼦为
A. access-list 101 deny 192.168.10.23 255.255.255.255
B. access-list standart 192.168.10.23
C. access-list 10 deny 192.168.10.23 0.0.0.0
D. access-list 101 deny 192.168.10.23 0.0.0.0",C,B,B,"0.027308332399202495,0.6274439019932274,0.5833562657440128,0.5792753518539889"
"题目： 下列选项中，属于逻辑结构的是
A. 循环队列
B. 邻接表
C. 散列表
D. ⼆叉树",D,A,A,"0.6136816913225519,0.32692801792700343,0.026537932457190383,0.08144026684021832"
"题目： C程序的组成是
A. 若⼲⼦程序
B. 语句
C. 循环体
D. 若⼲过程",B,A,A,"0.9370413704523277,0.8780056888426223,0.1385544383589743,0.7138012778026914"
"题目： 你刚创建了⼀个扩展访问列表101,现在你想把它应⽤到接⼝上,通过以下哪条命令你可以把它应⽤到接⼝上
A. pemit access-list 101 out
B. access-list 101 out
C. apply access-list 101 out
D. ip access-group 101 out",D,A,A,"0.8548290409221431,0.7100740507353813,0.5529260797859579,0.6512548782365545"
"题目： CPU包括哪两部分
A. ALU和主存储器
B. ALU和控制器
C. 运算器和控制器
D. ALU和累加器",C,C,C,"0.6379935904964726,0.587536194258655,0.9079809082291318,0.6861373087076096"
"题目： 线性表顺序存储时，逻辑上相邻的两个数据元素，其存储地址
A. ⼀定不相邻
B. ⼀定相邻
C. 不⼀定相邻
D. 可能不相邻",B,B,B,"0.3223930430936728,0.973886299863728,0.9466437963231112,0.23333615053395118"
"题目： 在计算机内部⽤机内码⽽不⽤国标码表示汉字的原因是
A. 有些汉字的国标码不唯⼀，⽽机内码唯⼀
B. 在有些情况下，国标码有可能造成误解
C. 国标码是国家标准，⽽机内码是国际标准
D. 机内码⽐国标码容易表示",B,D,D,"0.40799378008747733,0.7177869137905828,0.05775831410429688,0.9597571161045211"
