question,label,generate_result,choice_result,logits
"题目： 设集合$M=\left\{ -1,0,2,8 \right\},N=\left\{x|x\leqslant 2 \right\}$ ，则 $M\cap N =$
A. {—1,0,1} 
B. {0,1,2} 
C. {0,1} 
D. {—1,0,1,2} ",D,B,B,"0.5646461602236095,0.7246540995660818,0.35556375141967866,0.4662803069806849"
"题目： 命题“若⼀个数是负数，则它的平⽅是正数”的逆命题是
A. “若⼀个数的平⽅是正数，则它是负数”
B. “若⼀个数不是负数，则它的平⽅不是正数”
C. “若⼀个数是负数，则它的平⽅不是正数”
D. “若⼀个数的平⽅不是正数，则它不是负数”",A,D,D,"0.39909380823567453,0.5130268121733251,0.16020369006213697,0.5231172357043167"
"题目： 若数列${a_n}$的通项公式是$a_n=2(n+1)+3$则此数列
A. 是公差为5的等差数列
B. 不是等差数列
C. 是公差为2的等差数列 
D. 是公差为3的等差数列",C,D,D,"0.8334342198006438,0.770984715589127,0.6314304868176858,0.9786683841430995"
"题目： 在△ABC中，a，b，c分别是⻆A，B，C所对的边，且a＝6，b＝8，A＝30°，则满⾜条件的三⻆形有
A. 无数个
B. 1个
C. 0个
D. 2个",D,B,B,"0.2432028030097102,0.9896424231369905,0.31238664354547374,0.5259166092875401"
"题目： 设$\bigtriangleup ABC$的内角A，B，C所对边的长分别是a，b，c，若$a^{2}=b^{2}+c^{2}-bc$，则A=
A. $2\frac{\pi}{3}$
B. $\frac{\pi}{4}$
C. $\frac{\pi}{6}$
D. $\frac{\pi}{3}$",D,B,B,"0.5937263697485968,0.8049911242654689,0.17435368318010092,0.37979409828429045"
"题目： 下列正确的是
A. {0}=0 
B. 0属于{0} 
C. 以上都不对
D. 0真包含于{0}",B,A,A,"0.9549745289774275,0.8745965485697347,0.8229301605044703,0.3398999548134436"
"题目： 设等比数列{a_n}的前n项的和为S_n，若S_10:S_5=1:2，则S_15:S_5等于
A. 2:3
B. 1:3
C. 1:2
D. 3:4",D,B,B,"0.2698345115888676,0.8991157945157899,0.04524245424838713,0.22189852066767857"
"题目： 某学院的A，B，C三个专业共有1200名学⽣，为了调查这些学⽣勤⼯俭学的情况，拟采⽤分层抽样的⽅法抽取⼀个容量为120的样本．已知该学院的A专业有380名学⽣，B专业有420名学⽣，则在该学院的C专业应抽取的学⽣是 
A. 120名
B. 38名
C. 40名
D. 42名",A,C,C,"0.15028636597184675,0.5884304278186845,0.654519346845006,0.12142683954790623"
"题目： 已知a=log_{2}0.2, b=2^0.2, c=0.2^0.3，则
A. a<b<c
B. c<a<b
C. b<c<a
D. a<c<b",D,A,A,"0.7759062069626758,0.0903249531096324,0.6207574640107447,0.4122609053360319"
"题目： 某校现有⾼⼀学⽣210⼈，⾼⼆学⽣270⼈，⾼三学⽣300⼈，⽤分层抽样的⽅法从这三个年级的学⽣中随机抽取n名学⽣进⾏问卷调查，如果已知从⾼⼀学⽣中抽取的⼈数为7，那么从⾼三学⽣中抽取的⼈数应为
A. 9
B. 26
C. 25
D. 10",D,A,A,"0.5330974876820456,0.028491992400984212,0.025749835740509153,0.32244095074432877"
"题目： 下列元素中属于集合{x|x=2k k是⾃然数}的是
A. -2
B. 3
C. 10
D. 7",C,A,A,"0.6065868529212642,0.3455698832164842,0.119770438267362,0.15786509437215046"
"题目： 在$\bigtriangleup ABC$中，$cos\frac{C}{2}=\frac{\sqrt{5}}{5},BC=1, AC=5$，则AB等于
A. $2\sqrt{5}$
B. $4\sqrt{2}$
C. $\sqrt{29}$
D. $\sqrt{30}$",B,A,A,"0.9525001960990535,0.007654646209965699,0.18016180909691704,0.18565848752011727"
"题目： 若x\in R, 则“x>1” 是 ""|x|>1""的
A. 既⾮充分也⾮必要条件
B. 充分⾮必要条件
C. 充分必要条件
D. 必要⾮充分条件",B,A,A,"0.42440248175136164,0.1463344131628488,0.15355738849813316,0.16766367581396324"
"题目： 在集合﹛1，2，3，4…，10﹜中任取⼀个元素，所取元素恰好满⾜⽅程cos（30°•x ）= 1/2 的概率为
A. 1/5
B. 1/4
C. 1/6
D. 1/3",A,C,C,"0.35082459615361883,0.7840487356747382,0.912881810924597,0.16806451394684396"
"题目： 下列求导运算正确的事
A. (x^3)'=3x^2
B. (x^2 cos(x))'=-2xsin(x)
C. (x^2+1)'=2x+1
D. (1/x)'=1/x^2",A,D,D,"0.12075707323560458,0.2298400006153536,0.4838664926193178,0.5307607397037872"
"题目： 已知函数$f(3x)=log_{2}\sqrt{(9x+1)/2}，则f(1)的值为
A. 1/2
B. 2
C. 1
D. log_{2}\sqrt{5}",A,A,A,"0.7940005369522888,0.008976067986993796,0.466227080042274,0.17226252657254848"
"题目： 函数$y=log(x^{2}-1)$的定义域是
A. $[-1,1]$
B. $(-\infty ,-1]\cup[1,+\infty)$
C. $(-\infty ,-1)\cup(1,+\infty)$
D. $(-1,1)$",C,C,C,"0.12702433485275144,0.5687849167759845,0.8099884940733677,0.5258004767061893"
"题目： 已知集合$A={x|y=\sqrt{4-x^4}}$，集合$B={x|x>=a}$，则$A\subseteq B$的一个充分不必要条件是
A. (-\inf,-2)
B. [2,+\inf)
C. (-\inf,-2]
D. (2,+?)",A,B,B,"0.0573954390535919,0.8921602101339788,0.8161467263840232,0.43960574219433624"
"题目： 在空间中，下列命题正确的是
A. 平⾏于同⼀直线的两个平⾯平⾏
B. 垂直于同⼀平⾯的两条直线平⾏
C. 平⾏于同⼀平⾯的两条直线平⾏
D. 垂直于同⼀直线的两条直线平⾏",B,A,A,"0.9293546919024959,0.59666998166178,0.7200828195763354,0.04030695024350539"
"题目： 在正方体ABCD-A1B2C1D1中，BB1与平面ACD1所成角的余弦值为
A. \sqrt{3}/2
B. 2/3
C. \sqrt{2}/3
D. \sqrt{6}/3",D,A,A,"0.7285248682319904,0.48020586535032184,0.26517590566074445,0.18149844568396856"
"题目： 圆x^2+y^2-2x-2y+1=0上的点到直线x-y=2的距离最大的是
A. 1+2\sqrt{2}
B. 2
C. 1+\sqrt{2}/2
D. 1+\sqrt{2}",D,C,C,"0.060643458358287106,0.053909654694737186,0.8442709398522497,0.5010778903831107"
