question,label,generate_result,choice_result,logits
"题目： 在农业生产中被当作极其重要的劳动对象发挥作用，最主要的不可替代的基本生产资料是
A. 农业生产工具
B. 土地
C. 劳动力
D. 资金",B,B,B,"0.3504863576352565,0.9348803904640647,0.6434786666158478,0.7344784412884541"
"题目： 在孵化室温度为24～26°C的条件下，立体孵化器孵化鸡蛋的最适温度为
A. 36°C
B. 37.8°C
C. 36.5°C
D. 37°C",B,D,D,"0.14967803805286528,0.5260739991972467,0.7113071370586664,0.990883599744377"
"题目： 农业税的计税标准，按（）来进行
A. 当年产量
B. 三年平均产量
C. 常年产量
D. 去年产量",C,B,B,"0.030557355640469352,0.7718427843207677,0.3823418307687845,0.011228959196985078"
"题目： 使用年限长，可以多次参加生产过程而不改变原有实物形态的资产属于
A. 有形资产
B. 流动资产
C. 无形资产
D. 固定资产",D,A,A,"0.9141156396817128,0.3985605107246665,0.8587841560663131,0.8661098164805348"
"题目： 纤维作物中的麻类，如苎麻、亚麻、大麻、黄麻、红麻的产品是利用
A. 种子表面着生的纤维
B. 叶片的叶纤维
C. 根的导管纤维
D. 茎杆的韧皮纤维",D,D,D,"0.5248174604967021,0.3861987493364665,0.5371552751016471,0.6647653060329985"
"题目： 现代化养猪生产，可使繁殖力高的母猪年提供肉猪达到多少以上
A. 30头
B. 20头
C. 15头
D. 10头",B,D,D,"0.8869511030900635,0.1170611554339025,0.628872359506011,0.9829398721263546"
"题目： 下列作物的果实为荚果的是
A. 花生
B. 向日葵
C. 油菜
D. 荞麦",A,C,C,"0.0866034638918255,0.34590629017400676,0.5934117348496555,0.41111701912348075"
"题目： 某农户种植小麦，总产量5000公斤，总成本5000元，副产品成本1000元，则小麦主产品成本每公斤为
A. 1.10元
B. 0.90元
C. 0.80元
D. 1.50元",C,A,A,"0.6979686548215036,0.052211818401304955,0.16219882392583673,0.0332409879565182"
"题目： 细毛羊的毛被全部由哪种毛组成
A. 无髓毛
B. 两型毛
C. 有髓毛
D. 刺毛",A,D,D,"0.6340883205950636,0.5476724380148968,0.23188350330915286,0.7700515080859105"
"题目： 只有在一个（）的市场条件下，生产要素的价格才能充分反映要素的稀缺程度，产品价格才能真正体现供求关系
A. 完全垄断
B. 完全竞争
C. 竞争垄断
D. 垄断竞争",B,B,B,"0.6916630197615117,0.7973674856708125,0.47372031862035946,0.7827170233666556"
"题目： 畜禽采食生豆饼后出现拉稀，影响蛋白质的利用，其重要原因是生豆饼中含有
A. 抗糖化酶
B. 毒素
C. 抗脂肪酶
D. 抗胰蛋白酶",D,A,A,"0.7914995389658844,0.6791409929086093,0.28854241366350886,0.4790208806579236"
"题目： 某周的日均温分别为9°C、9°C、11°C、12°C、13°C、15°C、16°C，则对喜温作物(生物学零度为10°C)来说，这周的活动的积温为
A. 67°C
B. 18°C
C. 85°C
D. 17°C",A,D,D,"0.13584770019372316,0.740023848774859,0.06530931064761758,0.7917700925222507"
"题目： 下列技术中，由英国科学家F.Sanger发明的是
A. SDS-聚丙烯酰胺凝胶电泳
B. 用DNFB鉴定N-末端氨基酸
C. 离子交换层析
D. 多聚酶链式反应",B,B,B,"0.18442343283328333,0.9421797520098797,0.6543568794955281,0.5736832422697368"
"题目： 稻草→牛→蚯蚓→鸡→猪→鱼是一条典型的
A. 腐生食物链
B. 寄生食物链
C. 草牧食物链
D. 混合食物链",D,D,D,"0.5106394977042206,0.028284069207907714,0.0678453967557644,0.9591067713840379"
"题目： 下列关于铁元素生理功能的叙述，错误的是
A. 铁可作为光系统工的组分参与光合电子传递
B. 铁是硝酸还原酶的组分，缺铁时NO3－还原过程受阻
C. 铁可作为细胞色素的组分参与呼吸电子传递
D. 铁是叶绿素分子的组分，缺铁时植物会发生缺绿症状",D,A,A,"0.9281176520765155,0.8321935828802127,0.7790191094054999,0.7773575750186087"
"题目： 一般作物需水高峰期在
A. 中期
B. 播种出苗期
C. 后期
D. 前期",A,C,C,"0.41455730633214893,0.407925278451144,0.4264195989017121,0.42419782913546245"
"题目： 在砧木对接穗的影响关系中，矮化砧与乔化砧相比，一般矮化砧
A. 使树体变矮小，枝量减少，树的寿命延长
B. 使树体变矮小，枝量增多，树的寿命缩短
C. 使树体变矮小，枝量减少，树的寿命缩短
D. 使树体变高大，枝量增多，树的寿命延长",C,A,A,"0.7497741280631699,0.03600673657099562,0.2203961200552913,0.4135655771281379"
"题目： 农产品规格差价属于
A. 质量差价
B. 季节差价
C. 购销差价
D. 地区差价",A,D,D,"0.7329665333840566,0.6144535857736871,0.09871938914573253,0.8864716624627619"
"题目： 我国的国营农场主要分布在
A. 司法系统
B. 农垦系统
C. 教育科研系统
D. 部队系统",B,D,D,"0.46590538384894153,0.4447140789776618,0.30153916153664295,0.6529815790679867"
"题目： 家畜的青年期指
A. 从性成熟到开始衰老
B. 从性成熟到体成熟
C. 从断奶到体成熟
D. 从断奶到性成熟",B,C,C,"0.05177051498735752,0.5006455565704332,0.7512840843376929,0.10678602367400081"
