question,label,generate_result,choice_result,logits
"题目： 现已建成的核电站的能量来⾃于
A. 重核裂变放出的能量
B. ⼈⼯放射性同位素放出的的能量
C. 天然放射性元素衰变放出的能量
D. 化学反应放出的能量",A,C,C,"0.6885311522475155,0.1379831652704241,0.9851029875894415,0.25632468949997966"
"题目： 下列现象中，属于⽤热传递的⽅式改变物体内能的是
A. 两⼿互相摩擦时⼿发热
B. 在炉⼦上烧开⽔
C. 菜⼑在砂轮上磨得发烫
D. ⽤打⽓筒打⽓时筒壁发热",B,A,A,"0.6187077525880949,0.4881063601056126,0.46756946892048257,0.6033341740942572"
"题目： ⼀名观察者站在站台边，⽕⻋进站从他身边经过，⽕⻋共10节⻋厢，当第10节⻋厢完全经过他身边时，⽕⻋刚好停下。设⽕⻋做匀减速直线运动且每节⻋厢⻓度相同，则第8节和第9节⻋厢从他身边经过所⽤ 时间的⽐值为
A. sqrt(3):sqrt(2)
B. (sqrt(2)-1):(sqrt(3)-sqrt(2))
C. (sqrt(3)-sqrt(2)):(sqrt(2)-1)
D. sqrt(2):sqrt(3)",C,D,D,"0.18059591735430225,0.04760514327115273,0.048164817551578976,0.22926544687543438"
"题目： 关于电场，下列说法中正确的是
A. 电场是为了便于研究电荷的运动⽽引⼊的理想模
B. 电荷间的相互作⽤不是通过电场作媒介产⽣的
C. 电荷周围分布的电场线就是电场
D. 电场是电荷周围空间实际存在的物质",D,D,D,"0.6068535217050498,0.7077798912673391,0.7342837138734606,0.9646661839523578"
"题目： 下列关于紫外线的⼏种说法中，正确的是
A. 紫外线可使钞票上的荧光物质发光
B. 紫外线的频率⽐红外线的频率低
C. 利⽤紫外线可以进⾏电视机等电器的遥控
D. 紫外线是⼀种紫⾊的可⻅光",A,A,A,"0.9705815071935193,0.8773905075271682,0.14434135904067558,0.5471073797546522"
"题目： 关于功和能的联系和区别，下列说法中不正确的是
A. 功是过程量，能是状态量
B. 功是能量转化的量度
C. 做功的过程总对应着能量的转化过程
D. 功就是能，能就是功",D,C,C,"0.18086640139753707,0.05722311885282949,0.6634971642543092,0.05920014256260564"
"题目： 下列说法正确的是
A. 光速不变原理是狭义相对论的两个基本假设之⼀
B. 光在介质中的速度⼤于光在真空中的速度
C. 变化的电场⼀定产⽣变化的磁场；变化的磁场⼀定产⽣变化的电场
D. 拍摄玻璃橱窗内的物品时，往往在镜头前加⼀个偏振⽚以增加透射光的强度",A,A,A,"0.6389406210389755,0.2868553764656283,0.37902987929389864,0.011899386170521775"
"题目： 两个质量相等的物体分别沿⾼度相同但倾⻆不同的光滑斜⾯从顶端⾃由下滑到底端，在此过程中两物体具有相同的物理量是
A. 动量的变化
B. 合⼒的冲量
C. 速率的变化
D. 重⼒的冲量",C,C,C,"0.5112258179324457,0.3889083528786931,0.9803899395535214,0.34895809164453606"
"题目： 关于瞬时速度，下列说法正确的是
A. 是物体在某段时间内的速度
B. 是物体在通过某⼀段位移过程中的速度
C. 以上说法均正确
D. 是物体通过某⼀位置时的速度",D,D,D,"0.03169527384564608,0.015459966150414006,0.6074545493315766,0.7932229129348688"
"题目： ⽓体内能是所有⽓体分⼦热运动动能和势能的总和，其⼤⼩与⽓体的状态有关，分⼦热运动的平均动能与分⼦间势能分别取决于⽓体的
A. 压强和温度
B. 体积和压强
C. 温度和压强
D. 温度和体积",D,A,A,"0.9436105619579188,0.25362122495299166,0.7971481310234574,0.04331077599231514"
