summary: total num 5384 | acc 0.69242
model: [glm-4-9b-chat-hf]

subject: strict_0_shot_accountant  | num: 49    | acc: 0.63265
subject: strict_0_shot_advanced_mathematics | num: 19    | acc: 0.21053
subject: strict_0_shot_art_studies | num: 33    | acc: 0.78788
subject: strict_0_shot_basic_medicine | num: 19    | acc: 0.73684
subject: strict_0_shot_business_administration | num: 33    | acc: 0.66667
subject: strict_0_shot_chinese_language_and_literature | num: 23    | acc: 0.65217
subject: strict_0_shot_civil_servant | num: 47    | acc: 0.68085
subject: strict_0_shot_clinical_medicine | num: 22    | acc: 0.63636
subject: strict_0_shot_college_chemistry | num: 24    | acc: 0.58333
subject: strict_0_shot_college_economics | num: 55    | acc: 0.60000
subject: strict_0_shot_college_physics | num: 19    | acc: 0.57895
subject: strict_0_shot_college_programming | num: 37    | acc: 0.70270
subject: strict_0_shot_computer_architecture | num: 21    | acc: 0.76190
subject: strict_0_shot_computer_network | num: 19    | acc: 0.57895
subject: strict_0_shot_discrete_mathematics | num: 16    | acc: 0.31250
subject: strict_0_shot_education_science | num: 29    | acc: 0.79310
subject: strict_0_shot_electrical_engineer | num: 37    | acc: 0.48649
subject: strict_0_shot_environmental_impact_assessment_engineer | num: 31    | acc: 0.67742
subject: strict_0_shot_fire_engineer | num: 31    | acc: 0.64516
subject: strict_0_shot_high_school_biology | num: 19    | acc: 0.73684
subject: strict_0_shot_high_school_chemistry | num: 19    | acc: 0.84211
subject: strict_0_shot_high_school_chinese | num: 19    | acc: 0.63158
subject: strict_0_shot_high_school_geography | num: 19    | acc: 0.89474
subject: strict_0_shot_high_school_history | num: 20    | acc: 0.95000
subject: strict_0_shot_high_school_mathematics | num: 18    | acc: 0.44444
subject: strict_0_shot_high_school_physics | num: 19    | acc: 0.73684
subject: strict_0_shot_high_school_politics | num: 19    | acc: 0.94737
subject: strict_0_shot_ideological_and_moral_cultivation | num: 19    | acc: 0.89474
subject: strict_0_shot_law         | num: 24    | acc: 0.50000
subject: strict_0_shot_legal_professional | num: 23    | acc: 0.65217
subject: strict_0_shot_logic       | num: 22    | acc: 0.81818
subject: strict_0_shot_mao_zedong_thought | num: 24    | acc: 0.83333
subject: strict_0_shot_marxism     | num: 19    | acc: 0.89474
subject: strict_0_shot_metrology_engineer | num: 24    | acc: 0.62500
subject: strict_0_shot_middle_school_biology | num: 21    | acc: 0.95238
subject: strict_0_shot_middle_school_chemistry | num: 20    | acc: 1.00000
subject: strict_0_shot_middle_school_geography | num: 12    | acc: 0.91667
subject: strict_0_shot_middle_school_history | num: 22    | acc: 0.90909
subject: strict_0_shot_middle_school_mathematics | num: 19    | acc: 0.47368
subject: strict_0_shot_middle_school_physics | num: 19    | acc: 0.89474
subject: strict_0_shot_middle_school_politics | num: 21    | acc: 0.85714
subject: strict_0_shot_modern_chinese_history | num: 23    | acc: 0.82609
subject: strict_0_shot_operating_system | num: 19    | acc: 0.57895
subject: strict_0_shot_physician   | num: 49    | acc: 0.67347
subject: strict_0_shot_plant_protection | num: 22    | acc: 0.77273
subject: strict_0_shot_probability_and_statistics | num: 18    | acc: 0.38889
subject: strict_0_shot_professional_tour_guide | num: 29    | acc: 0.79310
subject: strict_0_shot_sports_science | num: 19    | acc: 0.78947
subject: strict_0_shot_tax_accountant | num: 49    | acc: 0.67347
subject: strict_0_shot_teacher_qualification | num: 44    | acc: 0.90909
subject: strict_0_shot_urban_and_rural_planner | num: 46    | acc: 0.60870
subject: strict_0_shot_veterinary_medicine | num: 23    | acc: 0.60870
subject: strict_5_shot_accountant  | num: 49    | acc: 0.57143
subject: strict_5_shot_advanced_mathematics | num: 19    | acc: 0.42105
subject: strict_5_shot_art_studies | num: 33    | acc: 0.81818
subject: strict_5_shot_basic_medicine | num: 19    | acc: 0.73684
subject: strict_5_shot_business_administration | num: 33    | acc: 0.60606
subject: strict_5_shot_chinese_language_and_literature | num: 23    | acc: 0.52174
subject: strict_5_shot_civil_servant | num: 47    | acc: 0.57447
subject: strict_5_shot_clinical_medicine | num: 22    | acc: 0.81818
subject: strict_5_shot_college_chemistry | num: 24    | acc: 0.50000
subject: strict_5_shot_college_economics | num: 55    | acc: 0.60000
subject: strict_5_shot_college_physics | num: 19    | acc: 0.57895
subject: strict_5_shot_college_programming | num: 37    | acc: 0.75676
subject: strict_5_shot_computer_architecture | num: 21    | acc: 0.71429
subject: strict_5_shot_computer_network | num: 19    | acc: 0.36842
subject: strict_5_shot_discrete_mathematics | num: 16    | acc: 0.37500
subject: strict_5_shot_education_science | num: 29    | acc: 0.79310
