question,label,generate_result,choice_result,logits
"题目： 不相干结论谬误的情形不包括
A. 转移论题
B. 偷换论题
C. 法庭悖论
D. 稻草人谬误",C,B,B,"0.23271029208859284,0.750970898116558,0.5306238416140779,0.5499230382372339"
"题目： 被马克思称之为古代最伟大的思想家的是
A. 马丁·路德
B. 柏拉图
C. 奥古斯丁
D. 亚里士多德",D,C,C,"0.7614646114494625,0.6283059418489608,0.9759712262633982,0.37238703122591577"
"题目： 同时肯定“所有的人都会犯错误”与“有的人不会犯错误”这两个命题会违反
A. 同一律
B. 排中律
C. 矛盾律
D. 充足理由律",C,C,C,"0.8421959161642618,0.14886894827133967,0.8611388345339891,0.017282049113021114"
"题目： 英国的一项实验发现，把母狗和他们的幼小子女分开后，将这些子女混入一群同类的成年狗和幼狗中去，然后再把母狗放入狗群。母狗很快就和自己的子女会合到一起。研究表明，狗身上的体味是它们互相辨认的依据。而幼狗无法区分自己母亲和其它母狗身上的味道。因此每个母狗都能分辨出自己子女的体味 上述论证采用了下列那种论述方法?
A. 说明某一特殊情况，以论证一个规律
B. 在对某种现象的两种可供选择的解释中，通过排除其中的一种，来确定另一种
C. 通过对发生现象的客观描述，支持关于某个可能发生现象的假说
D. 运用类比的方法，根据两组对象有某些类似的特征，得出它们具有另一个相同特征",B,D,D,"0.19524021382747092,0.13639976628479678,0.31176538490450634,0.4546501292868167"
"题目： 一阶逻辑即是指
A. 图式逻辑
B. 谓词逻辑
C. 数值逻辑
D. 概率逻辑",B,D,D,"0.2780080580726191,0.20885775053537559,0.9273581641078825,0.9502552785628279"
"题目： 甲说乙胖，乙说丙胖，丙和丁都说自己不胖。 如果四人陈述只有一人错，那么谁一定胖?
A. 仅丙
B. 仅甲
C. 仅乙和丙
D. 仅乙",D,B,B,"0.2338361670330965,0.794092601920882,0.6631533012371492,0.7515690981487549"
"题目： 以下属于周延词项的是
A. SAP谓项
B. SAP主项
C. SIP主项
D. SOP主项",B,B,B,"0.39305147723019496,0.6996467319857215,0.376184123244089,0.47650727816773364"
"题目： 允许我们从所有情形推导出特殊情形的是
A. 存在例示规则
B. 真值表
C. 全称例示规则
D. 全称命题",C,B,B,"0.21956203659041384,0.787473950077097,0.28504846297930153,0.07944270390430874"
"题目： 析取命题又称为
A. 选言命题
B. 全称命题
C. 否定命题
D. 肯定命题",A,D,D,"0.5713069821421666,0.10462652056318877,0.3832600032811858,0.8783617072380119"
"题目： 在下列语句中，在集合意义下使用语词“人”的是
A. 人是有思维能力的
B. 人是世间万物中第一个可宝贵的
C. 人贵有自知之明
D. 人非圣贤，孰能无过",B,B,B,"0.9310647479082184,0.9479724293668831,0.2785286566785815,0.153852231848149"
"题目： 有时不清楚一个语篇到底是论证还是解释，我们称之为
A. 解释论证
B. 两可情形
C. 识别论证
D. 论证解释",B,D,D,"0.31435055809799406,0.6414612161617158,0.30670354322613147,0.9330823974897172"
"题目： 在具体进行例示时，必须注意不要混合使用或用完证明中有用的
A. 数字
B. 字母
C. 量词
D. 联词",B,C,C,"0.23726302162189916,0.6636314345424974,0.7373215642440988,0.4374838318921098"
"题目： 标志词“如果”后面的命题被称为
A. 结论
B. 前提
C. 条件
D. 前件",D,D,D,"0.5607808470195912,0.16048285092760506,0.37051924430717453,0.7212732392707345"
"题目： 在三段论中，如果前提中有一个是否定命题，那么结论必定是
A. 真命题
B. 假命题
C. 肯定命题
D. 否定命题",D,B,B,"0.5029658351084418,0.5063149241592777,0.33076147999156946,0.17959926468629772"
"题目： 在文恩图中，用来标记特称命题的是。
A. 阴影
B. 星号
C. 数字
D. 圆圈",B,D,D,"0.6676666008073331,0.220804817559476,0.5879003490414482,0.9828096635000041"
"题目： 有些教授留长发，因此，有些留长发的人是科学家。 为使上述推理成立，需要补充以下哪项作为前提?
A. 所有科学家都是教授
B. 所有教授都是科学家
C. 有些科学家不是教授
D. 有些教授是科学家",B,D,D,"0.6314076116410599,0.3712661915387586,0.18987241753789963,0.9543521023841817"
"题目： 在世界范围内禁止生产各种破坏臭氧层的化学物质可能仅仅是一种幻想，大量这样的化学物质已经生产出来，并且以成千上万台冰箱的冷却剂的形式而存在。当这些化学物质到达大气层中的臭氧层时，其作用不可能停止。因此，没有任何方式可以阻止这类化学物质进一步破坏臭氧层。以下哪项如果为真，则能最严重地削弱以上论证?
A. 当冰箱的使用寿命结束时，冰箱里的冷却剂可完全回收并且重新利用
B. 不会破坏臭氧层的替代品还未开发出来，并且替代品可能比冰箱目前使用的冷却剂昂贵
C. 即使人们放弃使用冷藏设备，已经存在的冰箱里的冷却剂也是对大气臭氧层的一个威胁
D. 不可能精确地测量冰箱里冷却剂这种破坏臭氧层的化学物质的量是多少",A,A,A,"0.923781421580002,0.1860118771381748,0.9061404237436335,0.038542921952198994"
"题目： 金岳霖的著作不包括
A. 《中国哲学史》
B. 《知识论》
C. 《逻辑》
D. 《论道》",A,D,D,"0.9628305995107102,0.19829255105383148,0.5834664765657982,0.9793358902658426"
"题目： 古代逻辑的发源地包括
A. 古印度
B. 以上都对
C. 中国
D. 古希腊",B,D,D,"0.7829860668057655,0.2747534212524815,0.6216513950517314,0.9157119986677523"
"题目： “问:铁为什么能压延?答:因为铁有压延的特性。”属于
A. 直接循环论证
B. 相干谬误
C. 支持谬误
D. 间接循环论证",A,C,C,"0.20635980914187813,0.22895251437881947,0.5606345630703037,0.12770818460871391"
"题目： 所有的语句都包含
A. 逻辑要素
B. 语法要素
C. 词汇要素
D. 语义要素和逻辑要素",D,D,D,"0.3131320597467284,0.7142005714114068,0.5728319309313304,0.7892466542564855"
"题目： 一个优秀的领导人是不会脱离群众的。所以，如果一个领导人脱离群众，他就不是一个能够得到大多数群众拥护的人。 以下哪项与上面的议论方式最相似?
A. 许多领导人是脱离群众的人
B. 这道题在5分钟内答不完。要是谁在5分钟内答完，他就不是一个死记硬背的学员。
C. 所有孩子都喜欢与他人进行游戏活动。如果幼儿园多安排一些孩子之间的游戏活动，那么一定会受到家长的好评
D. 所有电脑都需要安装相应的软件才能运行某种程序。因此，如果电脑没有安装相应的软件，则这个程序就不会运行",D,C,C,"0.2903485331137139,0.568809435970405,0.6349661730085181,0.521894446198417"
"题目： “所有S是P”与“所有S不是P”之间具有
A. 反对关系
B. 下反对关系
C. 差等关系
D. 矛盾关系",A,C,C,"0.6547400649618099,0.5907473570677597,0.7821863338569024,0.4414009809473777"
"题目： 如果论证的所有前提同时为真是不可能的，那么这个论证的前提就是
A. 不可接受的
B. 一致的
C. 可接受的
D. 不一致的",D,C,C,"0.6353274109149283,0.8590073445814735,0.9185138214349874,0.5744807513959214"
"题目： 以“所有A都不是B，所有C是B。”为前提进行三段论推理，其结论为
A. 所有A不是C
B. 有些A是C
C. 有的C是A
D. 有的B是A",A,B,B,"0.11863925755538118,0.8930504313082858,0.6745924162282348,0.7926310355910162"
"题目： 以下不属于不相干结论谬误的是
A. 偷换论题
B. 稻草人谬误
C. 转移话题
D. 法庭悖论",D,B,B,"0.5511333297430592,0.7621906298013058,0.7421529366347898,0.0785676009353733"
"题目： 一个从已确定断言产生出新断言的过程叫做。
A. 结论
B. 辩论
C. 推论
D. 论断",C,A,A,"0.9436889240148066,0.845397921338785,0.11917973830164064,0.03338194942600403"
"题目： 亚里士多德提出的论证评价三标准不包含
A. 分析标准
B. 修辞标准
C. 论辩标准
D. 逻辑标准",D,C,C,"0.47989810375877084,0.2609956424547025,0.9849516727333568,0.7506151095382257"
"题目： “出席会议的人有大学毕业的”与“出席会议的人有不是大学毕业的”
A. 可同真，不可同假
B. 不可同真，可同假
C. 不可同真，不可同假
D. 可同真，可同假",A,A,A,"0.8656790184497082,0.09541429619907904,0.27245663756803196,0.2170220667020215"
"题目： 以下属于必然真命题的是
A. 女人是人
B. 中国人是中国人
C. 儿童是人
D. 中国人不是中国人",B,C,C,"0.6991647567621387,0.6512165688673047,0.8108268984577032,0.6717440036640351"
"题目： 论证的功能包括说服和
A. 证成和推论
B. 反驳和归谬
C. 推论和归谬
D. 证成和反驳",D,A,A,"0.9544237044688458,0.552716073294337,0.043893611372210706,0.13863134348810324"
"题目： 逻辑主义的代表人物是
A. 哥德尔
B. 布劳威尔
C. 希尔伯特
D. 罗素",D,C,C,"0.13895908160884018,0.3733671189019321,0.9449856815559319,0.40316657793511335"
"题目： 通过改变命题的质或量从而推导出新命题的论证的是
A. 质量论证
B. 对当关系论证
C. 三段论论证
D. 直言命题运算论证",D,A,A,"0.7750258603469905,0.22272841297727863,0.5099526060866296,0.5555346104758889"
"题目： 在“如果原始人的石斧就是资本，那原始人就是资本家了。”中，
A. 论据是“原始人的石斧是资本”
B. 论据是“原始人是资本家”
C. 论题是“原始人的石斧不是资本”
D. 论题是“原始人是资本家”",C,C,C,"0.1272134951121897,0.003535755103929339,0.9646031834572365,0.4327718562020134"
"题目： 包括一个或一个以上较短命题作为其自身的一部分的命题称为
A. 否定命题
B. 分析命题
C. 复合命题
D. 全称命题",C,A,A,"0.9112535975728081,0.3815122704202607,0.3678177912170515,0.2832607544131286"
"题目： 语言学的维度不包括
A. 语气
B. 语法
C. 语义
D. 语用",A,C,C,"0.36464077410094275,0.5272260609039547,0.9106742526709578,0.5287678021793815"
"题目： 并行结构又称为()，是指由两个或两个以上前提分别独立支持统一结论的结构。
A. 同一结构
B. 简单结构
C. 序列结构
D. 收敛结构",D,A,A,"0.9785039319192765,0.8853924518092413,0.7230610901587322,0.5917849379051994"
"题目： 逻辑系统的四大定理不包括
A. 可靠性定理
B. 有效性定理
C. 一致性定理
D. 不完全性定理",D,A,A,"0.8773442875912963,0.266086014112791,0.8248225799331496,0.7268877283138719"
"题目： 在具体进行例示时，必须注意不要混合使用或用完证明中有用的
A. 数字
B. 字母
C. 量词
D. 联词",B,B,B,"0.13438571316806114,0.6321922865382555,0.5286890489211186,0.10775517939667856"
"题目： 在上次考试中，老师出了一道非常古怪的难题，有86%的考生不及格。这次考试之前，王见明预测说：“格据上次考试情况，这次考试不一定会出那种难题了。”胡思明说：“这就是说这次考试肯定不出那种难题了。太好了!”王见明说：“我不是那个意思。” 下面哪句话与王见明说的意思相似?
A. 这次考试老师必定不出那种难题了
B. 这次考试老师不可能出那种难题了
C. 这次考试老师可能不出那种难题了
D. 这次考试老师不可能不出那种难题",C,A,A,"0.7428564275597551,0.48188457269162144,0.5027223685654554,0.5313485088183258"
