question,label,generate_result,choice_result,logits
"题目： 唱念做打是中国戏曲表演的四种艺术手段，也是戏曲表演的四项基本功，其中“做”指的是
A. 舞蹈动作
B. 器械表演
C. 肢体动作
D. 面部表情",B,B,B,"0.4727310740215632,0.7986556903206259,0.7117238778376701,0.04326465959748593"
"题目： 以下几位诗人中，不是边塞诗人的是
A. 高适
B. 王昌龄
C. 岑参
D. 孟浩然",D,C,C,"0.027316198827992744,0.4982590939822168,0.6528058739983982,0.5280148158772747"
"题目： 下面哪个是农历五月的别称
A. 桃月
B. 荷月
C. 榴月
D. 杏月",C,C,C,"0.5259266214494202,0.007157079078472295,0.7631824469547819,0.0838893011023496"
"题目： “初出茅庐”中的“茅庐”本意是指谁的的住处
A. 诸葛亮
B. 司马迁
C. 刘备
D. 司马光",A,B,B,"0.5924201970675866,0.8308825174536364,0.6734158190719012,0.2141041455598599"
"题目： 《霸王别姬》是京剧中的名段，“虞姬”这一角色在京剧中属于
A. 青衣
B. 武生
C. 文丑
D. 花旦",A,A,A,"0.9566433990475596,0.6720723584882682,0.44244472152837,0.7805125722332537"
"题目： 我国古代的很多事物都有自己的雅称，请问我们常说的“润笔”指的是什么
A. 文章书画稿费
B. 替人写稿
C. 为人作序
D. 替人研磨墨汁",A,D,D,"0.7578547288787812,0.7448340239341483,0.4665210544132743,0.9654542310952827"
"题目： “塞”在字典中有如下解释：①塞子；②边关，塞外；③重要的地方；④把窟窿堵住。在“军事要塞”这个词中它应选
A. ①
B. ②
C. ④
D. ③",B,A,A,"0.9500882939379688,0.1587578997003657,0.7904536122622544,0.37725484304976054"
"题目： 唐朝文宗御封的“三绝”指的是李白的诗歌、张旭的草书和
A. 公孙大娘的舞蹈
B. 裴旻的剑舞
C. 郑板桥的竹
D. 吴道子的画",B,C,C,"0.21946504204457173,0.06840551276958318,0.5719793117617264,0.07821249254029972"
"题目： “但使龙城飞将在，不教胡马度阴山”中的“龙城飞将”指的是
A. 汉朝名将李广
B. 赵国名将廉颇
C. 汉朝名将霍去病
D. 三国名将赵云",A,A,A,"0.5960812065914329,0.35709087189359323,0.13966965171851142,0.279500093606182"
"题目： 我们要珍惜现在来之不易的学习机会，不能辜负革命先烈们的
A. 愿望
B. 渴望
C. 期望
D. 盼望",C,D,D,"0.16929479518421997,0.5858240343873894,0.37063557981668094,0.9514110356547394"
"题目： 下列字母的排列顺序错误的一组是
A. UVWXYZ
B. ABCDEF
C. JMMKLG
D. OPQRST",C,D,D,"0.3032226005324463,0.21061368721029483,0.043899894354115454,0.5518879954957269"
"题目： 哪个成语典故和棋文化有关
A. 势如破竹
B. 专心致志
C. 泾渭分明
D. 出奇制胜",B,D,D,"0.2434112615134626,0.659959589289436,0.6850169039534468,0.9682388209040987"
"题目： 唐代边塞诗人王昌龄的“但使龙城飞将在，不教胡马度阴山”中的“飞将”指的是谁
A. 关羽
B. 卫青
C. 李广
D. 张飞",C,C,C,"0.10011519884289899,0.8440734988051407,0.9478815667120811,0.7444305823270732"
"题目： 下列句子中，意思不同的一句是
A. 难道他不会知道这件事吗？
B. 这件事他肯定知道。
C. 这件事他不可能不知道。
D. 他不可能知道这件事。",D,A,A,"0.9344317776244834,0.4279728713774337,0.2740190746050918,0.25196573678128664"
"题目： 《三国演义》中的“三英战吕布”的“三英”指的是
A. 刘备，关羽，张飞
B. 赵云，张飞，关羽
C. 刘备，张飞，赵云
D. 刘备，关羽，赵云",A,B,B,"0.17090927655335486,0.8870175043009287,0.4644879767796456,0.6405925339434616"
"题目： 下列哪个不是北京的别称
A. 上都
B. 南京
C. 大都
D. 中都",A,A,A,"0.885879094384323,0.8197789290614158,0.6610704525355571,0.6569682356259665"
"题目： “一门父子三词客，千古文章八大家”这幅对联中提到的“三父子”是
A. 曹操、曹丕、曹植
B. 诸葛亮、诸葛瑾、诸葛诞
C. 苏洵、苏轼、苏辙
D. 班彪、班固、班超",C,C,C,"0.3983175081067716,0.37313689569132835,0.9735425261811415,0.7234347068239092"
"题目： 文人对各种植物有自己的偏爱，陶渊明喜爱菊花，北宋文豪苏东坡则说过：宁可食无肉，不可
A. 居无松
B. 居无梅
C. 居无竹
D. 居无菊",C,C,C,"0.21884592102123135,0.4626762136087299,0.7904161186539289,0.6494590036894567"
"题目： 下列不是中国经典童话故事的是
A. 神笔马良的故事》
B. 《大林和小林》
C. 《灰姑娘》
D. 《宝葫芦的秘密》",C,D,D,"0.6423047559404603,0.09751182315692841,0.10619526359983966,0.8825551655166147"
"题目： 下面哪句话是孔子说的
A. 有朋自远方来，不亦乐乎！
B. 出淤泥而不染，濯清涟而不妖
C. 王侯将相宁有种乎
D. 天下兴亡，匹夫有责",A,C,C,"0.025860224307651003,0.5010361061461497,0.6406371854838905,0.3752510189151175"
"题目： 《三国演义》中有关羽“单刀赴会”的故事，历史上也确有“单刀赴会”一事，赴会的是
A. 张飞
B. 赵云
C. 鲁肃
D. 周瑜",C,A,A,"0.911686546625659,0.5471721040766635,0.6957650193396422,0.13455144774822514"
"题目： 落霞与孤鹜齐飞秋水共长天一色”与下列哪座建筑有关
A. 蓬莱阁
B. 滕王阁
C. 黄鹤楼
D. 岳阳楼",B,A,A,"0.6306819737995066,0.40236717883833184,0.3535312582763456,0.4752250936480611"
"题目： 《三十六计》是体现我国古代卓越军事思想的一部兵书，下列不属于《三十六计》的是
A. 浑水摸鱼
B. 反客为主
C. 笑里藏刀
D. 反戈一击",D,A,A,"0.7215275772891239,0.4097284789547081,0.41124595272167286,0.3832461678011283"
"题目： 《尼尔斯骑鹅旅行记》作为9至13岁孩子的通俗的历史和地理读物，具有很强的趣味性。其中，风、河流、城市都成了拟人化的形象，巧妙的比喻更让人耳目一新，如把斯康奈的平坦大地比喻为
A. “黑色的线穗”
B. “方格子布”
C. “长面包和小点心”
D. “粗麻布”",B,B,B,"0.5182264094981199,0.8656865297548931,0.203466866646683,0.7238296209826002"
"题目： “结发”在古时是指结婚时
A. 妻子把头发束起来
B. 夫妻分别把头发束起来
C. 丈夫把头发束起来
D. 把夫妻头发束在一起",D,C,C,"0.5856155799652721,0.8480469426743525,0.9901565033699222,0.5572026025082617"
"题目： 下面哪个字常用作表示顺序的第五位
A. 戊
B. 成
C. 戌
D. 戍",A,B,B,"0.4536436639230501,0.5829773448804447,0.4625084584691781,0.3197588903063452"
"题目： “深浅”这个词由“深”与“浅”这一对反义词组成，下面词语中与它相近的一组是
A. 正反 前后 快慢 良好 输赢
B. 好坏 死活 后退 春秋 曲直
C. 上下 中外 水火 红绿 长远
D. 出入 开关 厚薄 东西 装卸",D,D,D,"0.04714661647131302,0.02563274613740474,0.9602395184459909,0.9967609853484127"
"题目： “释”这个字用部首查字法应查部首
A. 米
B. 又
C. 木
D. 采",D,B,B,"0.19292855657769037,0.6552708452931536,0.2575602348894378,0.08716675917639949"
"题目： 下列植物中，不应当出现在《岁寒三友图》中的是
A. 梅
B. 兰
C. 菊
D. 竹",C,B,B,"0.0539938665712929,0.9588703520199778,0.5814536613331154,0.40308316537514743"
"题目： “生当作人杰，死亦为鬼雄，至今思项羽，不肯过江东。”是谁咏赞项羽的名句
A. 辛弃疾
B. 杜甫
C. 白居易
D. 李清照",D,C,C,"0.5880791950293429,0.7988890834550252,0.8057528709099523,0.7810474769904052"
"题目： “路漫漫其修远兮，吾将上下而求索”是谁的名言
A. 孟子
B. 孔子
C. 韩非子
D. 屈原",D,A,A,"0.744215517443779,0.6962585655932974,0.06254435620430909,0.44102138327058427"
"题目： 古代战争中指挥军队撤退时要敲击
A. 琴
B. 钟
C. 鼓
D. 锣",D,B,B,"0.04768906525182126,0.5391630249374578,0.048431508809993695,0.07819473132581523"
"题目： 王先生的QQ签名档最近改成了“庆祝弄璋之喜”，王先生近来的喜事是
A. 搬家
B. 新婚
C. 妻子生了个男孩
D. 考试通过",C,C,C,"0.6541739980607576,0.4665076214947571,0.7797705335466057,0.6170830594293255"
"题目： “桃李满天下”的“桃李“指什么
A. 学生
B. 朋友
C. 知己
D. 老师",A,C,C,"0.4151423597065058,0.6269612746923748,0.7608459750539832,0.5683060553316011"
