question,label,generate_result,choice_result,logits
"题目： 设 A，B 为n阶矩阵， 则 $|-2(\begin{array}{cc}A^T & O \\ O & B^{-1}\end{array})|$ 等于()
A. $-2|A^T||B|$
B. $(-2)^{2n}|A||B|^{-1}$
C. $(-2)^n|A||B|^{-1}$
D. $-2|A||B|^{-1}$",B,D,D,"0.7879840627504353,0.1961198771104411,0.7307697132407264,0.9139901694667848"
"题目： 设函数 $f(x)=\frac{1}{e^{\frac{x}{x-1}}-1}$， 则 ( )
A. $x=0， x=1$ 都是 $f(x)$ 的第一类间断点;
B. $x=0$ 是 $f(x)$ 的第一类间断点， $x=1$ 是 $f(x)$ 的第二类间断点;
C. $x=0， x=1$ 都是 $f(x)$ 的第二类间断点;
D. $x=0$ 是 $f(x)$ 的第二类间断点， $x=1$ 是 $f(x)$ 的第一类间断点",D,B,B,"0.7429094649578469,0.7762899772695615,0.3848568739753121,0.5401287624530025"
"题目： 下列各对函数中， ( ) 是相同的.
A. $f(x)=\ln x^3，g(x)=3 \ln x$
B. $f(x)=\ln x^2， g(x)=2 \ln x$
C. $f(x)=\sqrt{x^2}， g(x)=x$
D. $f(x)=\frac{x^2-1}{x+1}， g(x)=x-1$",A,C,C,"0.2634041997032024,0.5367059269042684,0.6945216594986141,0.6108055028561952"
"题目： 微分方程 $y^{\prime \prime}+2 y^{\prime}+2 y=\mathrm{e}^{-x} \sin x$ 的特解形式为 ( ).
A. $\mathrm{e}^{-x}(a \cos x+b \sin x)$
B. $\mathrm{e}^{-x}(a \cos x+b x \sin x)$
C. $\mathrm{e}^{-x}(a x \cos x+b \sin x)$
D. $x \mathrm{e}^{-x}(a \cos x+b \sin x)$",D,B,B,"0.5235755694125591,0.7990084446136562,0.5040756235861965,0.59571133042128"
"题目： 设A为n阶方阵， 且 $|A| \neq 0$， 则（）.
A. 以上都不对
B. 由AX=BA， 可得X=B
C. 当$(A，E)$经有限次初等变换变为$(E，B)$时， 有$A^{-1}=B$
D. A经初等列变换可变为单位阵$E$",D,A,A,"0.7854533839428316,0.767270260615608,0.6893330093459606,0.6319601430983935"
"题目： 阶行列式 $D_4=\left|\begin{array}{cccc}a_1 & 0 & 0 & b_1 \\ 0 & a_2 & b_2 & 0 \\ 0 & b_3 & a_3 & 0 \\ b_4 & 0 & 0 & a_4\end{array}\right|$ 的值等于 ( ).
A. $\left(a_1 a_2-b_1 b_2\right)\left(a_3 a_4-b_3 b_4\right)$;
B. $\left(a_2 a_3-b_2 b_3\right)\left(a_1 a_4-b_1 b_4\right)$.
C. $a_1 a_2 a_3 a_4+b_1 b_2 b_3 b_4$;
D. $a_1 a_2 a_3 a_4-b_1 b_2 b_3 b_4$;",B,D,D,"0.7868199350367021,0.4809088618807885,0.01392291371375931,0.9384831968182584"
"题目： 函数 $f(x)=\frac{x-x^3}{\sin \pi x}$ 的可去间断点个数为（）
A. 2
B. 无穷多个
C. 1
D. 3",D,B,B,"0.6035461021102013,0.8739893211038336,0.8136913646108784,0.06795851037610035"
"题目： 设 $A，B$ 为随机事件， $P(A)=P(B)=\frac{3}{4}$， 则 $P(A-B)=\frac{1}{4}$ 成立的一个充分条 件为 ( )
A. $A=B$
B. $A B=\varnothing$
C. $A， B$ 相互独立
D. $A \bigcup B=\Omega$",D,B,B,"0.8838291415645967,0.9173002864647357,0.6214308393994075,0.6745525706882096"
"题目： 设 $A，B$ 为n阶非零矩阵， 且AB=0$. 则A和B的秩
A. 一个小于n，一个等于n
B. 都小于n
C. 都等于n
D. 必有一个等于零",B,C,C,"0.131245433710521,0.5921037277731459,0.8948963370131162,0.22486019399335933"
"题目： 具有特解 $y_1=e^{-x}， y_2=2xe^{-x}， y_3=3e^x$ 的三阶常系数齐次线性方程是 () .
A. $y'''-2y''-y'+2y=0$
B. $y'''+y''-y'-y=0$
C. $y'''-y''-y'+y=0$
D. $y'''-6y''+11y'-6y=0$",B,A,A,"0.891192311074129,0.6431576477178954,0.2918064647443168,0.6521049599989952"
"题目： 设 $n$ 维向量组 ${\alpha}_1，{\alpha}_2，\cdots，{\alpha}_m(m<n)$ 线性无关， 则 $n$ 维列向量组 ${\beta}_1，{\beta}_2，\cdots，{\beta}_m$ 线性无关的充分必要条件为( )
A. 向量组 ${\beta}_1，{\beta}_2，\cdots，{\beta}_m$ 可由向量组 ${\alpha}_1，{\alpha}_2，\cdots，{\alpha}_m$ 线性表示.
B. 向量组 ${\alpha}_1，{\alpha}_2，\cdots，{\alpha}_m$ 与向量组 ${\beta}_1，{\beta}_2， \cdots， {\beta}_m$ 等价
C. 矩阵 $A=({\alpha}_1，\cdots，{\alpha}_m)$ 与矩阵 $B=({\beta}_1，\cdots，{\beta}_m)$ 等价
D. 向量组 ${\alpha}_1，{\alpha}_2，\cdots，{\alpha}_m$ 可由向量组 ${\beta}_1，{\beta}_2，\cdots，{\beta}_m$ 线性表示.",C,B,B,"0.19179065877851442,0.7476324444271562,0.026950139976331,0.45946526754439443"
"题目： 将一枚硬币独立的掷两次， 引进事件: $A_1={第一次出现正面}， A_2={第二次出现正面}， A_3={正、反面各出现一次}， A_4={出现两次正面}， 则事件
A. $A_1， A_2， A_3$ 相互独立
B. $A_1， A_2， A_3$ 两两独立
C. $A_2， A_3， A_4$ 两两独立
D. $A_2， A_3， A_4$ 相互独立",B,C,C,"0.2813881168696514,0.2816057271807164,0.37831773057782436,0.27951922017274033"
"题目： 函数 $f(x， y)=\left\{\begin{array}{lc}0， & x y=0， \\ x \sin \frac{1}{x}+y \sin \frac{1}{x}， & x y \neq 0，\end{array}\right.$ 则极限 $\lim _{\substack{x \rightarrow 0 \\ y \rightarrow 0}} f(x， y)()$.
A. 等于 1
B. 等于 0
C. 等于 2
D. 不存在",B,C,C,"0.76452710234925,0.33920578853922045,0.9904292117696116,0.3138627838655952"
